Year,Category,Film,Nominee,Concordance,Won
2024,Best Edited Documentary (Non-Theatrical),Chimp Crazy,Evan Wise,Editing,TRUE
2024,Best Edited Documentary (Non-Theatrical),Chimp Crazy,Charles Divak,Editing,TRUE
2024,Best Edited Documentary (Non-Theatrical),Chimp Crazy,Adrienne Gits,Editing,TRUE
2024,Best Edited Documentary (Non-Theatrical),Chimp Crazy,Doug Abel,Editing,TRUE
2024,Best Edited Documentary (Non-Theatrical),The Jinx – Part Two,Richard Hankin,Editing,FALSE
2024,Best Edited Documentary (Non-Theatrical),The Jinx – Part Two,Charles Olivier,Editing,FALSE
2024,Best Edited Documentary (Non-Theatrical),Quiet on Set: The Dark Side of Kids TV,Daphne Gómez-Mena,Editing,FALSE
2024,Best Edited Documentary (Non-Theatrical),Quiet on Set: The Dark Side of Kids TV,Jane Jo,Editing,FALSE
2024,Best Edited Documentary (Non-Theatrical),"STEVE! (Martin), a Documentary in 2 Pieces",Alan Lowe,Editing,FALSE
2024,Best Edited Documentary (Non-Theatrical),"STEVE! (Martin), a Documentary in 2 Pieces",Jeff Malmberg,Editing,FALSE
2024,Best Edited Documentary (Non-Theatrical),"STEVE! (Martin), a Documentary in 2 Pieces",Aaron I. Naar,Editing,FALSE
2023,Best Edited Animated Feature Film (Theatrical or Non-Theatrical),Elemental,Stephen Schaffer,Editing,FALSE
2023,Best Edited Animated Feature Film (Theatrical or Non-Theatrical),Nimona,Randy Trager,Editing,FALSE
2023,Best Edited Animated Feature Film (Theatrical or Non-Theatrical),Nimona,Erin Crackel,Editing,FALSE
2023,Best Edited Animated Feature Film (Theatrical or Non-Theatrical),Spider-Man: Across the Spider-Verse,Michael Andrews,Editing,TRUE
2023,Best Edited Animated Feature Film (Theatrical or Non-Theatrical),The Super Mario Bros. Movie,Eric Osmond,Editing,FALSE
2023,Best Edited Animated Feature Film (Theatrical or Non-Theatrical),Teenage Mutant Ninja Turtles: Mutant Mayhem,Greg Levitan,Editing,FALSE
2023,Best Edited Documentary (Non-Theatrical),100 Foot Wave,Alex Bayer,Editing,FALSE
2023,Best Edited Documentary (Non-Theatrical),100 Foot Wave,Alex Keipper,Editing,FALSE
2023,Best Edited Documentary (Non-Theatrical),100 Foot Wave,Quin O'Brien,Editing,FALSE
2023,Best Edited Documentary (Non-Theatrical),Albert Brooks: Defending My Life,Bob Joyce,Editing,FALSE
2023,Best Edited Documentary (Non-Theatrical),Beckham,Michael Harte,Editing,FALSE
2023,Best Edited Documentary (Non-Theatrical),Being Mary Tyler Moore,Mariah Rehmet,Editing,FALSE
2023,Best Edited Documentary (Non-Theatrical),Escaping Twin Flames,Martin Biehn,Editing,TRUE
2023,Best Edited Documentary (Non-Theatrical),Escaping Twin Flames,Kevin Hibbard,Editing,TRUE
2023,Best Edited Documentary (Non-Theatrical),Escaping Twin Flames,Inbal B. Lessner,Editing,TRUE
2023,Best Edited Documentary (Non-Theatrical),Escaping Twin Flames,Troy Takaki,Editing,TRUE
