Year,Film,Nominee,Category,Won,Concordance
2024,Civil War,Caty Maxey,Contemporary Film,FALSE,Art Direction
2024,Conclave,Suzie Davies,Contemporary Film,TRUE,Art Direction
2024,Emilia Pérez,Emmanuelle Duplay,Contemporary Film,FALSE,Art Direction
2024,The Substance,Stanislas Reydellet,Contemporary Film,FALSE,Art Direction
2024,Twisters,Patrick M. Suillivan,Contemporary Film,FALSE,Art Direction
2024,Alien: Romulus,Naaman Marshall,Fantasy Film,FALSE,Art Direction
2024,Beetlejuice Beetlejuice,Mark Scruton,Fantasy Film,FALSE,Art Direction
2024,Dune: Part Two,Patrice Vermette,Fantasy Film,FALSE,Art Direction
2024,Furiosa: A Mad Max Saga,Colin Gibson,Fantasy Film,FALSE,Art Direction
2024,Wicked,Nathan Crowley,Fantasy Film,TRUE,Art Direction
2024,A Complete Unknown,François Audouy,Period Film,FALSE,Art Direction
2024,Gladiator II,Arthur Max,Period Film,FALSE,Art Direction
2024,Nosferatu,Craig Lathrop,Period Film,TRUE,Art Direction
2024,Saturday Night,Jess Gonchor,Period Film,FALSE,Art Direction
2024,The Brutalist,Judy Becker,Period Film,FALSE,Art Direction
2024,Flow,Gints Zilbalodis,Animated Film,FALSE,Art Direction
2024,Inside Out 2,Jason Deamer,Animated Film,FALSE,Art Direction
2024,Moana 2,Ian Gooding,Animated Film,FALSE,Art Direction
2024,The Wild Robot,Raymond Zibach,Animated Film,TRUE,Art Direction
2024,Wallace & Gromit: Vengeance Most Fowl,Matt Perry,Animated Film,FALSE,Art Direction
2023,Beau Is Afraid,Fiona Crombie,Contemporary Film,FALSE,Art Direction
2023,John Wick: Chapter 4,Kevin Kavanaugh,Contemporary Film,FALSE,Art Direction
2023,Mission: Impossible — Dead Reckoning Part One,Gary Freeman,Contemporary Film,FALSE,Art Direction
2023,Saltburn,Suzie Davies,Contemporary Film,TRUE,Art Direction
2023,The Killer,Donald Graham Burt,Contemporary Film,FALSE,Art Direction
2023,Barbie,Sarah Greenwood,Fantasy Film,FALSE,Art Direction
2023,Guardians of the Galaxy Vol. 3,Beth Mickle,Fantasy Film,FALSE,Art Direction
2023,Poor Things,James Price,Fantasy Film,TRUE,Art Direction
2023,Poor Things,Shona Heath,Fantasy Film,TRUE,Art Direction
2023,The Creator,James Clyne,Fantasy Film,FALSE,Art Direction
2023,Wonka,Nathan Crowley,Fantasy Film,FALSE,Art Direction
2023,Asteroid City,Adam Stockhausen,Period Film,FALSE,Art Direction
2023,Killers of the Flower Moon,Jack Fisk,Period Film,FALSE,Art Direction
2023,Maestro,Kevin Thompson,Period Film,FALSE,Art Direction
2023,Napoleon,Arthur Max,Period Film,FALSE,Art Direction
2023,Oppenheimer,Ruth de Jong,Period Film,TRUE,Art Direction
2023,Elemental,Don Shank,Animated Film,FALSE,Art Direction
2023,Spider-Man: Across the Spider-Verse,Patrick o'Keefe,Animated Film,TRUE,Art Direction
2023,Teenage Mutant Ninja Turtles: Mutant Mayhem,Yashar Kassai,Animated Film,FALSE,Art Direction
2023,The Boy and the Heron,Yoji Takeshige,Animated Film,FALSE,Art Direction
2023,The Super Mario Bros. Movie,Guillaume Aretos,Animated Film,FALSE,Art Direction
2022,"Bardo, False Chronicle of a Handful of Truths",Eugenio Caballero,Contemporary Film,FALSE,Art Direction
2022,Bullet Train,David Scheunemann,Contemporary Film,FALSE,Art Direction
2022,Glass Onion: A 'Knives Out' Mystery,Rick Heinrichs,Contemporary Film,TRUE,Art Direction
2022,Tár,Marco Bittner Rosser,Contemporary Film,FALSE,Art Direction
2022,Top Gun: Maverick,Jeremy Hindle,Contemporary Film,FALSE,Art Direction
2022,Avatar: The Way of Water,Dylan Cole,Fantasy Film,FALSE,Art Direction
2022,Avatar: The Way of Water,Ben Procter,Fantasy Film,FALSE,Art Direction
2022,Black Panther: Wakanda Forever,Hannah Beacher,Fantasy Film,FALSE,Art Direction
2022,Everything Everywhere All at Once,Jason Kisvarday,Fantasy Film,TRUE,Art Direction
2022,Nope,Ruth de Jong,Fantasy Film,FALSE,Art Direction
2022,The Batman,James Chinlund,Fantasy Film,FALSE,Art Direction
2022,All Quiet on the Western Front,Christian M. Goldbeck,Period Film,FALSE,Art Direction
2022,Babylon,Florencia Martin,Period Film,TRUE,Art Direction
2022,Elvis,Catherine Martin,Period Film,FALSE,Art Direction
2022,The Fabelmans,Rick Carter,Period Film,FALSE,Art Direction
2022,White Noise,Jess Gonchor,Period Film,FALSE,Art Direction
2022,Guillermo del Toro's 'Pinocchio',Curt Enderle,Animated Film,TRUE,Art Direction
2022,Guillermo del Toro's 'Pinocchio',Guy Davis,Animated Film,TRUE,Art Direction
2022,Lightyear,Tim Evatt,Animated Film,FALSE,Art Direction
