Year,Film,Nominee,Won,Category,Concordance
2005,Memoirs of a Geisha,Dion Beebe,TRUE,Outstanding Achievement in Cinematography in Theatrical Releases,Cinematography
2005,Batman Begins,Wally Pfister,FALSE,Outstanding Achievement in Cinematography in Theatrical Releases,Cinematography
2005,Brokeback Mountain,Rodrigo Prieto,FALSE,Outstanding Achievement in Cinematography in Theatrical Releases,Cinematography
2005,"Good Night, and Good Luck",Robert Elswit,FALSE,Outstanding Achievement in Cinematography in Theatrical Releases,Cinematography
2005,King Kong,Andrew Lesnie,FALSE,Outstanding Achievement in Cinematography in Theatrical Releases,Cinematography
2006,Children of Men,Emmanuel Lubezki,TRUE,Outstanding Achievement in Cinematography in Theatrical Releases,Cinematography
2006,Apocalypto,Dean Semler,FALSE,Outstanding Achievement in Cinematography in Theatrical Releases,Cinematography
2006,The Black Dahlia,Vilmos Zsigmond,FALSE,Outstanding Achievement in Cinematography in Theatrical Releases,Cinematography
2006,The Good Shepherd,Robert Richardson,FALSE,Outstanding Achievement in Cinematography in Theatrical Releases,Cinematography
2006,The Illusionist,Dick Pope,FALSE,Outstanding Achievement in Cinematography in Theatrical Releases,Cinematography
2007,There Will Be Blood,Robert Elswit,TRUE,Outstanding Achievement in Cinematography in Theatrical Releases,Cinematography
2007,The Assassination of Jesse James by the Coward Robert Ford,Roger Deakins,FALSE,Outstanding Achievement in Cinematography in Theatrical Releases,Cinematography
2007,Atonement,Seamus McGarvey,FALSE,Outstanding Achievement in Cinematography in Theatrical Releases,Cinematography
2007,The Diving Bell and the Butterfly,Janusz Kamiński,FALSE,Outstanding Achievement in Cinematography in Theatrical Releases,Cinematography
2007,No Country for Old Men,Roger Deakins,FALSE,Outstanding Achievement in Cinematography in Theatrical Releases,Cinematography
2008,Slumdog Millionaire,Anthony Dod Mantle,TRUE,Outstanding Achievement in Cinematography in Theatrical Releases,Cinematography
2008,The Curious Case of Benjamin Button,Claudio Miranda,FALSE,Outstanding Achievement in Cinematography in Theatrical Releases,Cinematography
2008,The Dark Knight,Wally Pfister,FALSE,Outstanding Achievement in Cinematography in Theatrical Releases,Cinematography
2008,The Reader,Roger Deakins,FALSE,Outstanding Achievement in Cinematography in Theatrical Releases,Cinematography
2008,The Reader,Chris Menges,FALSE,Outstanding Achievement in Cinematography in Theatrical Releases,Cinematography
2008,Revolutionary Road,Roger Deakins,FALSE,Outstanding Achievement in Cinematography in Theatrical Releases,Cinematography
2009,The White Ribbon,Christian Berger,TRUE,Outstanding Achievement in Cinematography in Theatrical Releases,Cinematography
2009,Avatar,Mauro Fiore,FALSE,Outstanding Achievement in Cinematography in Theatrical Releases,Cinematography
2009,The Hurt Locker,Barry Ackroyd,FALSE,Outstanding Achievement in Cinematography in Theatrical Releases,Cinematography
2009,Inglourious Basterds,Robert Richardson,FALSE,Outstanding Achievement in Cinematography in Theatrical Releases,Cinematography
2009,Nine,Dion Beebe,FALSE,Outstanding Achievement in Cinematography in Theatrical Releases,Cinematography
2010,Inception,Wally Pfister,TRUE,Outstanding Achievement in Cinematography in Theatrical Releases,Cinematography
2010,Black Swan,Matthew Libatique,FALSE,Outstanding Achievement in Cinematography in Theatrical Releases,Cinematography
2010,The King's Speech,Danny Cohen,FALSE,Outstanding Achievement in Cinematography in Theatrical Releases,Cinematography
2010,The Social Network,Jeff Cronenweth,FALSE,Outstanding Achievement in Cinematography in Theatrical Releases,Cinematography
