Year,Film,Studio,Category,Won,Concordance
2024,The Wild Robot,Dreamworks Animation,Best Animated Feature,TRUE,Animated Feature-Length Film
2024,Inside Out 2,Pixar Animation Studios,Best Animated Feature,FALSE,Animated Feature-Length Film
2024,Kung Fu Panda 4,DreamWorks Animation,Best Animated Feature,FALSE,Animated Feature-Length Film
2024,That Christmas,"Locksmith Animation, Netflix",Best Animated Feature,FALSE,Animated Feature-Length Film
2024,Ultraman: Rising,"Netflix, Tsuburaya Productions",Best Animated Feature,FALSE,Animated Feature-Length Film
2024,Wallace & Gromit: Vengeance Most Fowl,"Aardman, Netflix",Best Animated Feature,FALSE,Animated Feature-Length Film
2024,Wander to Wonder,"Circe Films, Kaap Holland Film, Les Productions de Milou, Beast Animation, Blink Industries, and Pictanovo",Best Animated Short Subject,TRUE,Animated Short Film
2024,Beautiful Men,"Animal Tank, Miyu Productions, and Ka-Ching Cartoons",Best Animated Short Subject,FALSE,Animated Short Film
2024,In the Shadow of the Cypress,Barfak Animation Studio,Best Animated Short Subject,FALSE,Animated Short Film
2024,Ruthless Blade,"IDEOMOTOR Culture Media Co., Ltd.",Best Animated Short Subject,FALSE,Animated Short Film
2024,The Swineherd,Fleng Entertainment and Tumblehead Productions,Best Animated Short Subject,FALSE,Animated Short Film
2024,Flow,"Sacrebleu Productions, Take Five, Dream Well Studio, Janus Films",Best Animated Feature — Independent,TRUE,Animated Feature-Length Film
2024,Chicken for Linda!,"Dolce Vita Films, Miyu Productions, Palosanto Films, France 3 Cinéma",Best Animated Feature — Independent,FALSE,Animated Feature-Length Film
2024,Kensuke’s Kingdom,Mélusine Productions,Best Animated Feature — Independent,FALSE,Animated Feature-Length Film
2024,Look Back,Studio Durian,Best Animated Feature — Independent,FALSE,Animated Feature-Length Film
2024,Mars Express,"Everybody on Deck, Je Suis Bien Content",Best Animated Feature — Independent,FALSE,Animated Feature-Length Film
2024,Memoir of a Snail,"Snails Pace Films / Arenamedia, IFC Films",Best Animated Feature — Independent,FALSE,Animated Feature-Length Film
2023,Spider-Man: Across the Spider-Verse,Sony Pictures Animation,Best Animated Feature,TRUE,Animated Feature-Length Film
2023,The Boy and the Heron,Studio Ghibli,Best Animated Feature,FALSE,Animated Feature-Length Film
2023,Nimona,Annapurna Animation,Best Animated Feature,FALSE,Animated Feature-Length Film
2023,Suzume,CoMix Wave Films Inc. and STORY Inc.,Best Animated Feature,FALSE,Animated Feature-Length Film
2023,Teenage Mutant Ninja Turtles: Mutant Mayhem,Paramount Pictures and Nickleodeon Movies,Best Animated Feature,FALSE,Animated Feature-Length Film
2023,WAR IS OVER! Inspired by the Music of John & Yoko,ElectroLeague,Best Animated Short Subject,TRUE,Animated Short Film
2023,Carne de Dios,Ojo Raro and Fedora Productions,Best Animated Short Subject,FALSE,Animated Short Film
2023,Daffy in Wackyland,Warner Bros. Animation,Best Animated Short Subject,FALSE,Animated Short Film
2023,HUMO,"Outik Animation, 3rd Street Video, Mindsoup Entertainment, and IMCINE",Best Animated Short Subject,FALSE,Animated Short Film
2023,PINA,PUNCHLINE CINEMA / NEXT DAYS FILMS,Best Animated Short Subject,FALSE,Animated Short Film
2023,Robot Dreams,Arcadia Motion Pictures,Best Animated Feature — Independent,TRUE,Animated Feature-Length Film
2023,Ernest & Celestine: A Trip to Gibberitia,"Folivari, Mélusine Productions, Studio Canal",Best Animated Feature — Independent,FALSE,Animated Feature-Length Film
2023,Four Souls of Coyote,Cinemon Entertainment,Best Animated Feature — Independent,FALSE,Animated Feature-Length Film
2023,The Inventor,Curiosity Studios,Best Animated Feature — Independent,FALSE,Animated Feature-Length Film
2023,White Plastic Sky,SALTO Films & Artichoke,Best Animated Feature — Independent,FALSE,Animated Feature-Length Film
2022,Guillermo del Toro's 'Pinocchio',Netflix presents a Double Dare You! Film / a ShadowMachine production in association with The Jim Henson Company,Best Animated Feature,TRUE,Animated Feature-Length Film
2022,Puss in Boots: The Last Wish,DreamWorks Animation,Best Animated Feature,FALSE,Animated Feature-Length Film
2022,The Sea Beast,Netflix,Best Animated Feature,FALSE,Animated Feature-Length Film
2022,Turning Red,Pixar Animation Studios,Best Animated Feature,FALSE,Animated Feature-Length Film
2022,Wendell & Wild,Netflix presents a Monkeypaw production / a Gotham Group production,Best Animated Feature,FALSE,Animated Feature-Length Film
2022,Amok,Boddah,Best Animated Short Subject,FALSE,Animated Short Film
2022,Black Slide,"The Hive Studio, in co-production with FlipBook Studio",Best Animated Short Subject,FALSE,Animated Short Film
2022,The Flying Sailor,National Film Board of Canada,Best Animated Short Subject,FALSE,Animated Short Film
2022,Ice Merchants,COLA Animation production & Wild Stream,Best Animated Short Subject,TRUE,Animated Short Film
2022,"Love, Dad","13ka, in co-production with FAMU & nutprodukcia",Best Animated Short Subject,FALSE,Animated Short Film
2022,Charlotte,"January Films, Ltd., Balthazar Productions, and Walking the Dog",Best Animated Feature — Independent,FALSE,Animated Feature-Length Film
2022,Inu-Oh,Science SARU,Best Animated Feature — Independent,FALSE,Animated Feature-Length Film
2022,"Little Nicholas, Happy As Can Be",On Classics (Mediawan) / Bidibul Productions,Best Animated Feature — Independent,FALSE,Animated Feature-Length Film
2022,Marcel the Shell with Shoes On,"Marcel the Movie LLC, A24",Best Animated Feature — Independent,TRUE,Animated Feature-Length Film
2022,My Father's Dragon,"Cartoon Saloon, Netflix",Best Animated Feature — Independent,FALSE,Animated Feature-Length Film
2021,Encanto,Walt Disney Animation Studios,Best Animated Feature,FALSE,Animated Feature-Length Film
2021,Luca,Pixar Animation Studios,Best Animated Feature,FALSE,Animated Feature-Length Film
2021,Raya and the Last Dragon,Walt Disney Animation Studios,Best Animated Feature,FALSE,Animated Feature-Length Film
2021,Sing 2,Illumination,Best Animated Feature,FALSE,Animated Feature-Length Film
2021,The Mitchells vs. the Machines,"Netflix, Sony Pictures Animation",Best Animated Feature,TRUE,Animated Feature-Length Film
2021,Bestia,"Trebol 3 Producciones, MALEZA Estudio",Best Animated Short Subject,TRUE,Animated Short Film
2021,Easter Eggs,"Animal Tank, Brecht Van Elslande",Best Animated Short Subject,FALSE,Animated Short Film
2021,MAALBEEK,Films Grand Huit Films à Vif,Best Animated Short Subject,FALSE,Animated Short Film
2021,Night Bus,Joe Hsieh Independent Production,Best Animated Short Subject,FALSE,Animated Short Film
2021,Steakhouse,"Finta Film, Fabian & Fred, RTV Slovenija, Miyu Productions",Best Animated Short Subject,FALSE,Animated Short Film
2020,Soul,Pixar Animation Studios,Best Animated Feature,TRUE,Animated Feature-Length Film
2020,The Croods: A New Age,DreamWorks Animation,Best Animated Feature,FALSE,Animated Feature-Length Film
2020,Trolls World Tour,DreamWorks Animation,Best Animated Feature,FALSE,Animated Feature-Length Film
2020,Onward,Pixar Animation Studios,Best Animated Feature,FALSE,Animated Feature-Length Film
2020,The Willoughbys,"Netflix Animation, BRON Animation, Creative Wealth Media",Best Animated Feature,FALSE,Animated Feature-Length Film
2020,Souvenir Souvenir,Blast Production,Best Animated Short Subject,TRUE,Animated Short Film
2020,KKUM,open the portal,Best Animated Short Subject,FALSE,Animated Short Film
2020,"Filles Bleues, Peur Blanche",Miyu Productions,Best Animated Short Subject,FALSE,Animated Short Film
2020,The Places Where We Live (Cake),FX Productions and FX,Best Animated Short Subject,FALSE,Animated Short Film
2020,World of Tomorrow Episode Three: The Absent Destinations of David Prime,Don Hertzfeldt,Best Animated Short Subject,FALSE,Animated Short Film
