Year,Category,Concordance,Film,Film_Original,Country,Nominee,Won,Role,Adapted from,Character
2024,Best Actor in a Leading Role,Actor in a Leading Role,Conclave,,,Ralph Fiennes,FALSE,,,Thomas Cardinal Lawrence
2024,Best Actor in a Leading Role,Actor in a Leading Role,Sing Sing,,,Colman Domingo,FALSE,,,"John ""Divine G"" Whitfield"
2024,Best Actor in a Leading Role,Actor in a Leading Role,The Brutalist,,,Adrien Brody,TRUE,,,László Tóth
2024,Best Actor in a Leading Role,Actor in a Leading Role,Heretic,,,Hugh Grant,FALSE,,,Mr. Reed
2024,Best Actor in a Leading Role,Actor in a Leading Role,The Apprentice,,,Sebastian Stan,FALSE,,,Donald Trump
2024,Best Actor in a Leading Role,Actor in a Leading Role,A Complete Unknown,,,Timothée Chalamet,FALSE,,,Bob Dylan
2024,Best Actor in a Supporting Role,Actor in a Supporting Role,The Brutalist,,,Guy Pearce,FALSE,,,Harrison Lee Van Buren
2024,Best Actor in a Supporting Role,Actor in a Supporting Role,The Apprentice,,,Jeremy Strong,FALSE,,,Roy Cohn
2024,Best Actor in a Supporting Role,Actor in a Supporting Role,Anora,,,Yura Borisov,FALSE,,,Igor
2024,Best Actor in a Supporting Role,Actor in a Supporting Role,A Real Pain,,,Kieran Culkin,TRUE,,,Benji Kaplan
2024,Best Actor in a Supporting Role,Actor in a Supporting Role,A Complete Unknown,,,Edward Norton,FALSE,,,Pete Seeger
2024,Best Actor in a Supporting Role,Actor in a Supporting Role,Sing Sing,,,Clarence Maclin,FALSE,,,"Clarence ""Divine Eye"" Maclin"
2024,Best Actress in a Leading Role,Actress in a Leading Role,Wicked,,,Cynthia Erivo,FALSE,,,Elphaba Thropp
2024,Best Actress in a Leading Role,Actress in a Leading Role,Emilia Pérez,,,Karla Sofía Gascón,FALSE,,,"Emilia Pérez / Juan ""Manitas"" del Monte"
2024,Best Actress in a Leading Role,Actress in a Leading Role,The Substance,,,Demi Moore,FALSE,,,Elisabeth Sparkle
2024,Best Actress in a Leading Role,Actress in a Leading Role,Hard Truths,,,Marianne Jean-Baptiste,FALSE,,,Pansy Deacon
2024,Best Actress in a Leading Role,Actress in a Leading Role,Anora,,,Mikey Madison,TRUE,,,"Anora ""Ani"" Mikheeva"
2024,Best Actress in a Leading Role,Actress in a Leading Role,The Outrun,,,Saoirse Ronan,FALSE,,,Rona
2024,Best Actress in a Supporting Role,Actress in a Supporting Role,Emilia Pérez,,,Selena Gomez,FALSE,,,Jessi Del Monte
2024,Best Actress in a Supporting Role,Actress in a Supporting Role,Wicked,,,Ariana Grande,FALSE,,,Galinda Upland
2024,Best Actress in a Supporting Role,Actress in a Supporting Role,The Brutalist,,,Felicity Jones,FALSE,,,Erzsébet Tóth
2024,Best Actress in a Supporting Role,Actress in a Supporting Role,Conclave,,,Isabella Rossellini,FALSE,,,Sister Agnes
2024,Best Actress in a Supporting Role,Actress in a Supporting Role,Emilia Pérez,,,Zoe Saldaña,TRUE,,,Rita Mora Castro
2024,Best Actress in a Supporting Role,Actress in a Supporting Role,The Last Showgirl,,,Jamie Lee Curtis,FALSE,,,Annette
2024,Best Adapted Screenplay,Screenplay (Adapted),Emilia Pérez,,,Jacques Audiard,FALSE,,,
2024,Best Adapted Screenplay,Screenplay (Adapted),Conclave,,,Peter Straughan,TRUE,,,
2024,Best Adapted Screenplay,Screenplay (Adapted),Nickel Boys,,,Joslyn Barnes,FALSE,,,
2024,Best Adapted Screenplay,Screenplay (Adapted),Nickel Boys,,,RaMell Ross,FALSE,,,
2024,Best Adapted Screenplay,Screenplay (Adapted),Sing Sing,,,Clint Bentley,FALSE,,,
2024,Best Adapted Screenplay,Screenplay (Adapted),A Complete Unknown,,,Jay Cocks,FALSE,,,
2024,Best Adapted Screenplay,Screenplay (Adapted),Sing Sing,,,Greg Kwedar,FALSE,,,
2024,Best Adapted Screenplay,Screenplay (Adapted),Sing Sing,,,"John ""Divine G"" Whitfield",FALSE,,,
2024,Best Adapted Screenplay,Screenplay (Adapted),Sing Sing,,,Clarence Maclin,FALSE,,,
2024,Best Adapted Screenplay,Screenplay (Adapted),A Complete Unknown,,,James Mangold,FALSE,,,
2024,Best Animated Film,Animated Feature-Length Film,Flow,,,Gints Zilbalodis,FALSE,,,
2024,Best Animated Film,Animated Feature-Length Film,Inside Out 2,,,Kelsey Mann,FALSE,,,
2024,Best Animated Film,Animated Feature-Length Film,Inside Out 2,,,Mark Nielsen,FALSE,,,
2024,Best Animated Film,Animated Feature-Length Film,Wallace & Gromit: Vengeance Most Fowl,,,Nick Park,TRUE,,,
2024,Best Animated Film,Animated Feature-Length Film,Flow,,,Matīss Kaža,FALSE,,,
2024,Best Animated Film,Animated Feature-Length Film,The Wild Robot,,,Chris Sanders,FALSE,,,
