Year,Category,Film,Nominee,Role,Won,Concordance
2024,Motion Picture – Animated,The Wild Robot,Ken Gombos,original dialogue mixer,TRUE,Sound Mixing
2024,Motion Picture – Animated,The Wild Robot,Leff Lefferts,re-recording mixer,TRUE,Sound Mixing
2024,Motion Picture – Animated,The Wild Robot,Gary A. Rizzo,re-recording mixer,TRUE,Sound Mixing
2024,Motion Picture – Animated,The Wild Robot,Alan Meyerson,scoring mixer,TRUE,Sound Mixing
2024,Motion Picture – Animated,The Wild Robot,Richard Duarte,foley mixer,TRUE,Sound Mixing
2024,Motion Picture – Animated,Inside Out 2,Vince Caro,original dialogue mixer,FALSE,Sound Mixing
2024,Motion Picture – Animated,Inside Out 2,Ren Klyce,re-recording mixer,FALSE,Sound Mixing
2024,Motion Picture – Animated,Inside Out 2,Stephen Urata,re-recording mixer,FALSE,Sound Mixing
2024,Motion Picture – Animated,Inside Out 2,Warren Brown,scoring mixer,FALSE,Sound Mixing
2024,Motion Picture – Animated,Inside Out 2,Doc Kane,adr mixer,FALSE,Sound Mixing
2024,Motion Picture – Animated,Inside Out 2,Leff Lefferts,foley mixer,FALSE,Sound Mixing
2024,Motion Picture – Animated,Moana 2,Gabriel Guy,original dialogue mixer,FALSE,Sound Mixing
2024,Motion Picture – Animated,Moana 2,Gabriel Guy,re-recording mixer,FALSE,Sound Mixing
2024,Motion Picture – Animated,Moana 2,David Fluhr,re-recording mixer,FALSE,Sound Mixing
2024,Motion Picture – Animated,Moana 2,David Boucher,scoring mixer,FALSE,Sound Mixing
2024,Motion Picture – Animated,Moana 2,Doc Kane,adr mixer,FALSE,Sound Mixing
2024,Motion Picture – Animated,Moana 2,Richard Duarte,foley mixer,FALSE,Sound Mixing
2024,Motion Picture – Animated,Mufasa: The Lion King,Doc Kane,original dialogue mixer,FALSE,Sound Mixing
2024,Motion Picture – Animated,Mufasa: The Lion King,Onnalee Blank,re-recording mixer,FALSE,Sound Mixing
2024,Motion Picture – Animated,Mufasa: The Lion King,Greg P. Russell,re-recording mixer,FALSE,Sound Mixing
2024,Motion Picture – Animated,Mufasa: The Lion King,Chris Fogel,scoring mixer,FALSE,Sound Mixing
2024,Motion Picture – Animated,Mufasa: The Lion King,David Boucher,scoring mixer,FALSE,Sound Mixing
2024,Motion Picture – Animated,Mufasa: The Lion King,Gary Turnbull,adr mixer,FALSE,Sound Mixing
2024,Motion Picture – Animated,Mufasa: The Lion King,Mikel Parraga-Wills,foley mixer,FALSE,Sound Mixing
2024,Motion Picture – Animated,Wallace & Gromit: Vengeance Most Fowl,Will Norie,original dialogue mixer,FALSE,Sound Mixing
2024,Motion Picture – Animated,Wallace & Gromit: Vengeance Most Fowl,Chris Burdon,re-recording mixer,FALSE,Sound Mixing
2024,Motion Picture – Animated,Wallace & Gromit: Vengeance Most Fowl,Gilbert Lake,re-recording mixer,FALSE,Sound Mixing
2024,Motion Picture – Animated,Wallace & Gromit: Vengeance Most Fowl,Simon Rhodes,scoring mixer,FALSE,Sound Mixing
2024,Motion Picture – Animated,Wallace & Gromit: Vengeance Most Fowl,Nick Roberts,adr mixer,FALSE,Sound Mixing
2024,Motion Picture – Animated,Wallace & Gromit: Vengeance Most Fowl,Adrian Rhodes,foley mixer,FALSE,Sound Mixing
2024,Motion Picture – Documentary,Music by John Williams,Noah Alexander,production mixer,TRUE,Sound Mixing
2024,Motion Picture – Documentary,Music by John Williams,Christopher Barnett,re-recording mixer,TRUE,Sound Mixing
2024,Motion Picture – Documentary,Music by John Williams,Roy Waldspurger,re-recording mixer,TRUE,Sound Mixing
2024,Motion Picture – Documentary,The Blue Angels,Sean Peterson,production sound mixer,FALSE,Sound Mixing
2024,Motion Picture – Documentary,The Blue Angels,Lindsey Alvarez,re-recording mixer,FALSE,Sound Mixing
2024,Motion Picture – Documentary,The Blue Angels,Forest Christenson,scoring mixer,FALSE,Sound Mixing
2024,Motion Picture – Documentary,Elton John: Never Too Late,Jae Kim,production sound mixer,FALSE,Sound Mixing
2024,Motion Picture – Documentary,Elton John: Never Too Late,Elmo Ponsdomenech,re-recording mixer,FALSE,Sound Mixing
2024,Motion Picture – Documentary,Elton John: Never Too Late,Teddy Salas,re-recording mixer,FALSE,Sound Mixing
2024,Motion Picture – Documentary,I Am: Celine Dion,Irene Taylor,production mixer,FALSE,Sound Mixing
2024,Motion Picture – Documentary,I Am: Celine Dion,Lora Hirschberg,re-recording mixer,FALSE,Sound Mixing
2024,Motion Picture – Documentary,I Am: Celine Dion,Tim Oliver,scoring mixer,FALSE,Sound Mixing
2024,Motion Picture – Documentary,Super/Man: The Christopher Reeve Story,Austin Plocher,production sound mixer,FALSE,Sound Mixing
2024,Motion Picture – Documentary,Super/Man: The Christopher Reeve Story,Greg Gettens,re-recording mixer,FALSE,Sound Mixing
2024,Motion Picture – Documentary,Super/Man: The Christopher Reeve Story,Steve McLaughlin,scoring mixer,FALSE,Sound Mixing
2024,Motion Picture – Documentary,Super/Man: The Christopher Reeve Story,Daniel Nicholls,foley mixer,FALSE,Sound Mixing
2024,Motion Picture – Live Action,A Complete Unknown,Tod A. Maitland,production sound mixer,TRUE,Sound Mixing
2024,Motion Picture – Live Action,A Complete Unknown,Paul Massey,re-recording mixer,TRUE,Sound Mixing
2024,Motion Picture – Live Action,A Complete Unknown,David Giammarco,re-recording mixer,TRUE,Sound Mixing
2024,Motion Picture – Live Action,A Complete Unknown,Nick Baxter,scoring mixer,TRUE,Sound Mixing
2024,Motion Picture – Live Action,A Complete Unknown,David Betancourt,adr mixer,TRUE,Sound Mixing
2024,Motion Picture – Live Action,A Complete Unknown,Kevin Schultz,foley mixer,TRUE,Sound Mixing
2024,Motion Picture – Live Action,Deadpool & Wolverine,Colin Nicolson,production sound mixer,FALSE,Sound Mixing
