Year,Category,Nominee,Film,Concordance,Won
2025,Documentaries,Mstyslav Chernov,2000 Meters to Andriivka,Directing,FALSE
2025,Documentaries,Geeta Gandbhir,The Perfect Neighbor,Directing,FALSE
2025,Documentaries,Sara Khaki,Cutting Through Rocks,Directing,FALSE
2025,Documentaries,Elizabeth Lo,Mistress Dispeller,Directing,FALSE
2025,Documentaries,Laura Poitras,Cover-Up,Directing,FALSE
2025,Documentaries,Mohammadreza Eyni,Cutting Through Rocks,Directing,FALSE
2025,Documentaries,Mark Obenhaus,Cover-Up,Directing,FALSE
2025,Feature Film,Paul Thomas Anderson,One Battle After Another,Directing,FALSE
2025,Feature Film,Ryan Coogler,Sinners,Directing,FALSE
2025,Feature Film,Guillermo del Toro,Frankenstein,Directing,FALSE
2025,Feature Film,Josh Safdie,Marty Supreme,Directing,FALSE
2025,Feature Film,Chloé Zhao,Hamnet,Directing,FALSE
2025,First-Time Feature Film,Hasan Hadi,The President's Cake,Directing,FALSE
2025,First-Time Feature Film,Harry Lighton,Pillion,Directing,FALSE
2025,First-Time Feature Film,Charlie Polinger,The Plague,Directing,FALSE
2025,First-Time Feature Film,Alex Russell,Lurker,Directing,FALSE
2025,First-Time Feature Film,Eva Victor,"Sorry, Baby",Directing,FALSE
2024,Documentaries,Brendan Bellomo,Porcelain War,Directing,TRUE
2024,Documentaries,Slava Leontyev,Porcelain War,Directing,TRUE
2024,Documentaries,Julian Brave NoiseCat,Sugarcane,Directing,FALSE
2024,Documentaries,Emily Kassie,Sugarcane,Directing,FALSE
2024,Documentaries,Johan Grimonprez,Soundtrack to a Coup d'Etat,Directing,FALSE
2024,Documentaries,Ibrahim Nash'at,Hollywoodgate,Directing,FALSE
2024,Documentaries,Natalie Rae,Daughters,Directing,FALSE
2024,Documentaries,Angela Patton,Daughters,Directing,FALSE
2024,Feature Film,Sean Baker,Anora,Directing,TRUE
2024,Feature Film,Jacques Audiard,Emilia Pérez,Directing,FALSE
2024,Feature Film,Edward Berger,Conclave,Directing,FALSE
2024,Feature Film,Brady Corbet,The Brutalist,Directing,FALSE
2024,Feature Film,James Mangold,A Complete Unknown,Directing,FALSE
2024,First-Time Feature Film,RaMell Ross,Nickel Boys,Directing,TRUE
2024,First-Time Feature Film,Payal Kapadia,All We Imagine as Light,Directing,FALSE
2024,First-Time Feature Film,Megan Park,My Old Ass,Directing,FALSE
2024,First-Time Feature Film,Halfdan Ullmann Tøndel,Armand,Directing,FALSE
2024,First-Time Feature Film,Sean Wang,Didi,Directing,FALSE
2023,Documentaries,Moses Bwayo,Bobi Wine: The People's President,Directing,FALSE
2023,Documentaries,Christopher Sharp,Bobi Wine: The People's President,Directing,FALSE
2023,Documentaries,Mstyslav Chernov,20 Days in Mariupol,Directing,TRUE
2023,Documentaries,Madeleine Gavin,Beyond Utopia,Directing,FALSE
2023,Documentaries,Davis Guggenheim,Still: A Michael J. Fox Movie,Directing,FALSE
2023,Documentaries,D. Smith,Kokomo City,Directing,FALSE
2023,Feature Film,Greta Gerwig,Barbie,Directing,FALSE
2023,Feature Film,Yorgos Lanthimos,Poor Things,Directing,FALSE
2023,Feature Film,Christopher Nolan,Oppenheimer,Directing,TRUE
2023,Feature Film,Alexander Payne,The Holdovers,Directing,FALSE
2023,Feature Film,Martin Scorsese,Killers of the Flower Moon,Directing,FALSE
2023,First-Time Feature Film,Cord Jefferson,American Fiction,Directing,FALSE
2023,First-Time Feature Film,Manuela Martelli,Chile '76,Directing,FALSE
2023,First-Time Feature Film,Noora Niasari,Shayda,Directing,FALSE
2023,First-Time Feature Film,A. V. Rockwell,A Thousand and One,Directing,FALSE
2023,First-Time Feature Film,Celine Song,Past Lives,Directing,TRUE
2022,First-Time Feature Film,Alice Diop,Saint Omer,Directing,FALSE
2022,First-Time Feature Film,Audrey Diwan,Happening,Directing,FALSE
2022,First-Time Feature Film,John Patton Ford,Emily the Criminal,Directing,FALSE
2022,First-Time Feature Film,Antoneta Alamat Kusijanović,Murina,Directing,FALSE
2022,First-Time Feature Film,Charlotte Wells,Aftersun,Directing,TRUE
2022,Feature Film,Todd Field,Tár,Directing,FALSE
2022,Feature Film,Joseph Kosinski,Top Gun: Maverick,Directing,FALSE
2022,Feature Film,Daniel Kwan,Everything Everywhere All at Once,Directing,TRUE
2022,Feature Film,Daniel Scheinert,Everything Everywhere All at Once,Directing,TRUE
2022,Feature Film,Martin McDonagh,The Banshees of Inisherin,Directing,FALSE
2022,Feature Film,Steven Spielberg,The Fabelmans,Directing,FALSE
2022,Documentaries,Sara Dosa,Fire of Love,Directing,TRUE
2022,Documentaries,Matthew Heineman,Retrograde,Directing,FALSE
2022,Documentaries,Laura Poitras,All the Beauty and the Bloodshed,Directing,FALSE
2022,Documentaries,Daniel Roher,Navalny,Directing,FALSE
2022,Documentaries,Shaunak Sen,All That Breathes,Directing,FALSE
2021,First-Time Feature Film,Maggie Gyllenhaal,The Lost Daughter,Directing,TRUE
2021,First-Time Feature Film,Rebecca Hall,Passing,Directing,FALSE
2021,First-Time Feature Film,Tatiana Huezo,Prayers for the Stolen,Directing,FALSE
2021,First-Time Feature Film,Lin-Manuel Miranda,"Tick, Tick... Boom!",Directing,FALSE
2021,First-Time Feature Film,Michael Sarnoski,Pig,Directing,FALSE
2021,First-Time Feature Film,Emma Seligman,Shiva Baby,Directing,FALSE
2021,Feature Film,Jane Campion,The Power of the Dog,Directing,TRUE
2021,Feature Film,Paul Thomas Anderson,Licorice Pizza,Directing,FALSE
2021,Feature Film,Kenneth Branagh,Belfast,Directing,FALSE
2021,Feature Film,Steven Spielberg,West Side Story,Directing,FALSE
2021,Feature Film,Denis Villeneuve,Dune,Directing,FALSE
2021,Documentaries,Stanley Nelson Jr.,Attica,Directing,TRUE
2021,Documentaries,Jessica Kingdon,Ascension,Directing,FALSE
2021,Documentaries,Raoul Peck,Exterminate All the Brutes,Directing,FALSE
2021,Documentaries,"Ahmir ""Questlove"" Thompson","Summer of Soul (...Or, When the Revolution Could Not Be Televised)",Directing,FALSE
2021,Documentaries,Elizabeth Chai Vasarhelyi,The Rescue,Directing,FALSE
2021,Documentaries,Jimmy Chin,The Rescue,Directing,FALSE
2020,First-Time Feature Film,Darius Marder,Sound of Metal,Directing,TRUE
2020,First-Time Feature Film,Radha Blank,The 40-Year-Old Version,Directing,FALSE
2020,First-Time Feature Film,Fernando Frías de la Parra,I'm No Longer Here,Directing,FALSE
2020,First-Time Feature Film,Regina King,One Night in Miami...,Directing,FALSE
2020,First-Time Feature Film,Florian Zeller,The Father,Directing,FALSE
2020,Feature Film,Chloé Zhao,Nomadland,Directing,TRUE
2020,Feature Film,Lee Isaac Chung,Minari,Directing,FALSE
2020,Feature Film,Emerald Fennell,Promising Young Woman,Directing,FALSE
2020,Feature Film,David Fincher,Mank,Directing,FALSE
2020,Feature Film,Aaron Sorkin,The Trial of the Chicago 7,Directing,FALSE
2020,Documentaries,Michael Dweck,The Truffle Hunters,Directing,TRUE
2020,Documentaries,Gregory Kershaw,The Truffle Hunters,Directing,TRUE
2020,Documentaries,Pippa Ehrlich,My Octopus Teacher,Directing,FALSE
2020,Documentaries,James Reed,My Octopus Teacher,Directing,FALSE
2020,Documentaries,David France,Welcome to Chechnya,Directing,FALSE
2020,Documentaries,Amanda McBaine,Boys State,Directing,FALSE
2020,Documentaries,Jesse Moss,Boys State,Directing,FALSE
2020,Documentaries,Benjamin Ree,The Painter and the Thief,Directing,FALSE
2019,First-Time Feature Film,Alma Har'el,Honey Boy,Directing,TRUE
2019,First-Time Feature Film,Mati Diop,Atlantics,Directing,FALSE
2019,First-Time Feature Film,Melina Matsoukas,Queen & Slim,Directing,FALSE
2019,First-Time Feature Film,Tyler Nilson,The Peanut Butter Falcon,Directing,FALSE
2019,First-Time Feature Film,Michael Schwartz,The Peanut Butter Falcon,Directing,FALSE
2019,First-Time Feature Film,Joe Talbot,The Last Black Man in San Francisco,Directing,FALSE
2019,Feature Film,Sam Mendes,1917,Directing,TRUE
2019,Feature Film,Bong Joon-ho,Parasite,Directing,FALSE
2019,Feature Film,Martin Scorsese,The Irishman,Directing,FALSE
2019,Feature Film,Quentin Tarantino,Once Upon a Time in Hollywood,Directing,FALSE
2019,Feature Film,Taika Waititi,Jojo Rabbit,Directing,FALSE
2019,Documentaries,Steven Bognar,American Factory,Directing,TRUE
2019,Documentaries,Julia Reichert,American Factory,Directing,TRUE
2019,Documentaries,Feras Fayyad,The Cave,Directing,FALSE
2019,Documentaries,Alex Holmes,Maiden,Directing,FALSE
2019,Documentaries,Ljubomir Stefanov,Honeyland,Directing,FALSE
2019,Documentaries,Tamara Kotevska,Honeyland,Directing,FALSE
2019,Documentaries,Nanfu Wang,One Child Nation,Directing,FALSE
2019,Documentaries,Jialing Zhang,One Child Nation,Directing,FALSE
2018,First-Time Feature Film,Bo Burnham,Eighth Grade,Directing,TRUE
2018,First-Time Feature Film,Bradley Cooper,A Star Is Born,Directing,FALSE
2018,First-Time Feature Film,Carlos López Estrada,Blindspotting,Directing,FALSE
2018,First-Time Feature Film,Matthew Heineman,A Private War,Directing,FALSE
2018,First-Time Feature Film,Boots Riley,Sorry to Bother You,Directing,FALSE
2018,Feature Film,Alfonso Cuarón,Roma,Directing,TRUE
2018,Feature Film,Bradley Cooper,A Star Is Born,Directing,FALSE
2018,Feature Film,Peter Farrelly,Green Book,Directing,FALSE
2018,Feature Film,Spike Lee,BlacKkKlansman,Directing,FALSE
2018,Feature Film,Adam McKay,Vice,Directing,FALSE
2018,Documentaries,Tim Wardle,Three Identical Strangers,Directing,TRUE
2018,Documentaries,Morgan Neville,Won't You Be My Neighbor?,Directing,FALSE
2018,Documentaries,RaMell Ross,"Hale County This Morning, This Evening",Directing,FALSE
2018,Documentaries,Elizabeth Chai Vasarhelyi,Free Solo,Directing,FALSE
2018,Documentaries,Jimmy Chin,Free Solo,Directing,FALSE
2018,Documentaries,Betsy West,RBG,Directing,FALSE
2018,Documentaries,Julie Cohen,RBG,Directing,FALSE
2017,First-Time Feature Film,Jordan Peele,Get Out,Directing,TRUE
2017,First-Time Feature Film,Geremy Jasper,Patti Cake$,Directing,FALSE
