Year,Film,Grade,Country,Languages,Title_in_Original_Script,tconst,originalTitle,endYear,runtimeMinutes,genres
2021,The Eyes of Tammy Faye,B-,USA,English,,,,,,
2021,Cruella,C+,USA,English,,,,,,
2021,Dune,B,USA,English,,,,,,
2021,Four Hours at the Capitol,B+,USA,English,,,,,,
2021,Paranormal Activity: Next of Kin,D,USA,English,,,,,,
2021,In the Heights,C,USA,English,,,,,,
2021,Luca,B-,USA,English,,,,,,
2021,Moxie,B,USA,English,,,,,,
1982,The Best Little Whorehouse in Texas,C-,USA,English,,,,,,
2005,Tsotsi,,South Africa,"Zulu
Xhosa
Afrikaans",,,,,,
2005,Paradise Now,,Palestine,Arabic,"Al-Jannah al'ān
الجنة الآن",,,,,
2005,The Beast in the Heart,,Italy,Italian,La bestia nel cuore,,,,,
2005,Sophie Scholl – The Final Days,,Germany,German,Sophie Scholl - Die letzten Tage,,,,,
2005,Joyeux Noël,,France,"French
English
German",Joyeux Noël,,,,,
2005,9,,,,,,,,,
2005,A History of Violence,,,,,,,,,
2005,A Note of Triumph: The Golden Age of Norman Corwin,,,,,,,,,
2005,The Runaway,,,,Ausreisser,,,,,
2005,Badgered,,,,,,,,,
2005,Batman Begins,,,,,,,,,
2005,Brokeback Mountain,,,,,tt0388795,Brokeback Mountain,,134,"Drama,Romance"
2005,Capote,,,,,,,,,
2005,Cashback,,,,,,,,,
2005,Charlie and the Chocolate Factory,,,,,,,,,
2005,Cinderella Man,,,,,,,,,
2005,Corpse Bride,,,,,,,,,
2005,Crash,,,,,,,,,
2005,Darwin's Nightmare,,,,,,,,,
2005,Enron: The Smartest Guys in the Room,,,,,,,,,
2005,God Sleeps in Rwanda,,,,,,,,,
2005,"Good Night, and Good Luck.",,,,,,,,,
2005,Harry Potter and the Goblet of Fire,,,,,,,,,
2005,Howl's Moving Castle,,,,,,,,,
2005,Hustle & Flow,,,,,,,,,
2005,Junebug,,,,,,,,,
2005,King Kong,,,,,tt0360717,King Kong,,187,"Action,Adventure,Drama"
2005,March of the Penguins,,,,,tt0428803,La marche de l'empereur,,80,"Documentary,Family"
2005,Match Point,,,,,,,,,
2005,Memoirs of a Geisha,,,,,tt0397535,Memoirs of a Geisha,,145,"Drama,Romance"
2005,Mrs Henderson Presents,,,,,,,,,
2005,Munich,,,,,,,,,
2005,Murderball,,,,,,,,,
2005,North Country,,,,,,,,,
2005,One Man Band,,,,,,,,,
2005,Our Time Is Up,,,,,,,,,
2005,Pride & Prejudice,,,,,tt0414387,Pride & Prejudice,,129,"Drama,Romance"
2005,Six Shooter,,,,,,,,,
2005,Star Wars: Episode III – Revenge of the Sith,,,,,,,,,
2005,Street Fight,,,,,,,,,
2005,Syriana,,,,,,,,,
2005,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",,,,,,,,,
2005,The Constant Gardener,,,,,,,,,
2005,The Death of Kevin Carter: Casualty of the Bang Bang Club,,,,,,,,,
2005,The Last Farm,,,,,,,,,
2005,The Moon and the Son: An Imagined Conversation,,,,,,,,,
2005,The Mushroom Club,,,,,,,,,
2005,The Mysterious Geographic Explorations of Jasper Morello,,,,,,,,,
2005,The New World,,,,,,,,,
2005,The Squid and the Whale,,,,,tt0367089,The Squid and the Whale,,81,"Comedy,Drama"
2005,Transamerica,,,,,,,,,
2005,Walk the Line,,,,,tt0358273,Walk the Line,,136,"Biography,Drama,Music"
2005,Wallace & Gromit in 'The Curse of the Were-Rabbit',,,,,,,,,
2005,Wallace and Gromit in 'The Curse of the Were-Rabbit',,,,,,,,,
2005,War of the Worlds,,,,,,,,,
2005,,,,,,,,,,
2006,Pan's Labyrinth,,Mexico,Spanish,El Laberinto del Fauno,tt0457430,El laberinto del fauno,,118,"Drama,Fantasy,War"
2006,The Lives of Others,,Germany,German,Das Leben der Anderen,,,,,
2006,After the Wedding,,Denmark,"Danish
Swedish
Hindi
English",Efter brylluppet,,,,,
2006,Water,,Canada,Hindi,"Water
वाटर",,,,,
2006,Days of Glory,,Algeria,"Arabic
French",Indigènes,,,,,
2006,An Inconvenient Truth,,,,,tt0497116,An Inconvenient Truth,,96,"Documentary,News"
2006,Apocalypto,,,,,tt0472043,Apocalypto,,139,"Action,Adventure,Drama"
2006,Babel,,,,,tt0449467,Babel,,143,Drama
2006,Binta and the Great Idea,,,,Binta y la Gran Idea,,,,,
2006,Blood Diamond,,,,,tt0450259,Blood Diamond,,143,"Adventure,Drama,Thriller"
2006,Borat,,,,,,,,,
2006,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,,,,,tt0443453,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,,84,Comedy
2006,Cars,,,,,tt0317219,Cars,,117,"Animation,Comedy,Family"
2006,Children of Men,,,,,tt0206634,Children of Men,,109,"Adventure,Drama,Sci-Fi"
2006,Click,,,,,,,,,
2006,Curse of the Golden Flower,,,,,,,,,
2006,Deliver Us from Evil,,,,,,,,,
2006,Dreamgirls,,,,,tt0443489,Dreamgirls,,130,"Drama,Music,Musical"
2006,One Too Many,,,,Éramos Pocos,,,,,
2006,Flags of Our Fathers,,,,,,,,,
2006,Half Nelson,,,,,tt0468489,Half Nelson,,106,Drama
2006,Happy Feet,,,,,,,,,
2006,Helmer & Son,,,,,,,,,
2006,Iraq in Fragments,,,,,,,,,
2006,Jesus Camp,,,,,,,,,
2006,Letters from Iwo Jima,,,,,tt0498380,Letters from Iwo Jima,,141,"Action,Adventure,Drama"
2006,Lifted,,,,,,,,,
2006,Little Children,,,,,tt0404203,Little Children,,137,"Drama,Romance"
2006,Little Miss Sunshine,,,,,tt0449059,Little Miss Sunshine,,101,"Comedy,Drama"
2006,Maestro,,,,,,,,,
2006,Marie Antoinette,,,,,tt0422720,Marie Antoinette,,123,"Biography,Drama,History"
2006,Monster House,,,,,tt0385880,Monster House,,91,"Animation,Comedy,Family"
2006,"My Country, My Country",,,,,,,,,
2006,No Time for Nuts,,,,,,,,,
2006,Notes on a Scandal,,,,,tt0465551,Notes on a Scandal,,92,"Crime,Drama,Romance"
2006,Pirates of the Caribbean: Dead Man's Chest,,,,,tt0383574,Pirates of the Caribbean: Dead Man's Chest,,151,"Action,Adventure,Fantasy"
2006,Poseidon,,,,,,,,,
2006,Recycled Life,,,,,,,,,
2006,Rehearsing a Dream,,,,,,,,,
2006,Running with Scissors,,,,,tt0439289,Running with Scissors,,116,"Comedy,Drama"
2006,Superman Returns,,,,,,,,,
2006,The Black Dahlia,,,,,,,,,
2006,The Blood of Yingzhou District,,,,,,,,,
2006,The Danish Poet,,,,,,,,,
2006,The Departed,,,,,tt0407887,The Departed,,151,"Crime,Drama,Thriller"
2006,The Devil Wears Prada,,,,,tt0458352,The Devil Wears Prada,,109,"Comedy,Drama"
2006,The Good German,,,,,,,,,
2006,The Good Shepherd,,,,,,,,,
2006,The Illusionist,,,,,tt0443543,The Illusionist,,110,"Drama,Fantasy,Mystery"
2006,The Last King of Scotland,,,,,,,,,
2006,The Little Matchgirl,,,,,,,,,
2006,The Prestige,,,,,,,,,
2006,The Pursuit of Happyness,,,,,,,,,
2006,The Queen,,,,,tt0436697,The Queen,,103,"Biography,Drama,History"
2006,The Saviour,,,,,,,,,
2006,Two Hands,,,,,,,,,
2006,United 93,,,,,tt0475276,United 93,,111,"Action,Drama,History"
2006,Venus,,,,,tt0489327,Venus,,95,"Comedy,Drama,Romance"
2006,Volver,,,,,tt0441909,Volver,,121,"Comedy,Drama"
2006,West Bank Story,,,,,,,,,
2006,,,,,,,,,,
2007,12,,Russia,"Russian
Chechen",12,,,,,
2007,Katyń,,Poland,Polish,Katyń,,,,,
2007,Mongol,,Kazakhstan,"Mongolian
Mandarin","Mongol
Монгол",,,,,
2007,Beaufort,,Israel,Hebrew,"Beaufort
בופור",,,,,
2007,The Counterfeiters,,Austria,German,Die Fälscher,,,,,
2007,3:10 to Yuma,,,,,,,,,
2007,Across the Universe,,,,,,,,,
2007,American Gangster,,,,,,,,,
2007,At Night,,,,,,,,,
2007,Atonement,,,,,tt0783233,Atonement,,123,"Drama,Mystery,Romance"
2007,August Rush,,,,,,,,,
2007,Away from Her,,,,,,,,,
2007,Charlie Wilson's War,,,,,tt0472062,Charlie Wilson's War,,102,"Biography,Comedy,Drama"
2007,Control,,,,,tt0421082,Control,,122,"Biography,Drama,Music"
2007,Dan in Real Life,,,,,tt0480242,Dan in Real Life,,98,"Comedy,Drama,Romance"
2007,Eastern Promises,,,,,,,,,
2007,Elizabeth: The Golden Age,,,,,tt0414055,Elizabeth: The Golden Age,,114,"Biography,Drama,History"
2007,Enchanted,,,,,tt0461770,Enchanted,,107,"Animation,Comedy,Family"
2007,Even Pigeons Go to Heaven,,,,,,,,,
2007,Everything Will Be OK,,,,,,,,,
2007,Freeheld,,,,,,,,,
2007,Gone Baby Gone,,,,,,,,,
2007,Harry Potter and the Order of the Phoenix,,,,,tt0373889,Harry Potter and the Order of the Phoenix,,138,"Action,Adventure,Family"
2007,Hotel Chevalier,,,,,,,,,
2007,I Am Legend,,,,,tt0480249,I Am Legend,,101,"Action,Adventure,Drama"
2007,I Met the Walrus,,,,,,,,,
2007,I'm Not There,,,,,tt0368794,I'm Not There,,135,"Biography,Drama,Music"
2007,The Substitute,,,,Il Supplente,,,,,
2007,In the Valley of Elah,,,,,,,,,
2007,Into the Wild,,,,,tt0758758,Into the Wild,,148,"Adventure,Biography,Drama"
2007,Juno,,,,,tt0467406,Juno,,96,"Comedy,Drama"
2007,The Crown,,,,La Corona,,,,,
2007,La Vie en Rose,,,,,,,,,
2007,Lars and the Real Girl,,,,,tt0805564,Lars and the Real Girl,,106,"Comedy,Drama,Romance"
2007,Le Mozart des pickpockets,,,,,,,,,
2007,"Lust, Caution",,,,,tt0808357,"Se, jie",,157,"Drama,History,Romance"
2007,Madame Tutli-Putli,,,,,,,,,
2007,Michael Clayton,,,,,tt0465538,Michael Clayton,,119,"Crime,Drama,Mystery"
2007,My Love,,,,,tt0758053,Saawariya,,142,"Drama,Musical,Romance"
2007,No Country for Old Men,,,,,tt0477348,No Country for Old Men,,122,"Crime,Drama,Thriller"
2007,No End in Sight,,,,,,,,,
2007,Norbit,,,,,,,,,
2007,Once,,,,,tt0907657,Once,,86,"Drama,Music,Romance"
2007,Operation Homecoming: Writing the Wartime Experience,,,,,,,,,
2007,Persepolis,,,,,tt0808417,Persepolis,,96,"Animation,Biography,Drama"
2007,Peter & the Wolf,,,,,,,,,
2007,Pirates of the Caribbean: At World's End,,,,,tt0449088,Pirates of the Caribbean: At World's End,,169,"Action,Adventure,Fantasy"
2007,Ratatouille,,,,,tt0382932,Ratatouille,,111,"Adventure,Animation,Comedy"
2007,Salim Baba,,,,,,,,,
2007,Sari's Mother,,,,,,,,,
2007,Sicko,,,,,,,,,
2007,Surf's Up,,,,,,,,,
2007,Sweeney Todd: The Demon Barber of Fleet Street,,,,,tt0408236,Sweeney Todd: The Demon Barber of Fleet Street,,116,"Drama,Horror,Musical"
2007,Tanghi Argentini,,,,,,,,,
2007,Taxi to the Dark Side,,,,,,,,,
2007,The Assassination of Jesse James by the Coward Robert Ford,,,,,tt0443680,The Assassination of Jesse James by the Coward Robert Ford,,160,"Biography,Crime,Drama"
2007,The Bourne Ultimatum,,,,,tt0440963,The Bourne Ultimatum,,115,"Action,Mystery,Thriller"
2007,The Darjeeling Limited,,,,,tt0838221,The Darjeeling Limited,,91,"Adventure,Comedy,Drama"
2007,The Diving Bell and the Butterfly,,,,Le Scaphandre et le Papillon,tt0401383,Le scaphandre et le papillon,,112,"Biography,Drama"
2007,The Golden Compass,,,,,,,,,
2007,The Kite Runner,,,,,,,,,
2007,The Savages,,,,,tt0775529,The Savages,,114,"Comedy,Drama"
2007,The Simpsons Movie,,,,,tt0462538,The Simpsons Movie,,87,"Adventure,Animation,Comedy"
2007,The Tonto Woman,,,,,,,,,
2007,There Will Be Blood,,,,,tt0469494,There Will Be Blood,,158,Drama
2007,Transformers,,,,,tt0418279,Transformers,,144,"Action,Adventure,Sci-Fi"
2007,War/Dance,,,,,,,,,
2007,Zodiac,,,,,tt0443706,Zodiac,,157,"Crime,Drama,Mystery"
2007,,,,,,,,,,
2008,Let the Right One In,A-,Norway,,Låt den Rätte Komma In,tt1139797,Låt den rätte komma in,,114,"Crime,Drama,Fantasy"
2008,Doubt,A-,,,,tt0918927,Doubt,,104,"Drama,Mystery"
2008,Frozen River,A-,,,,tt0978759,Frozen River,,97,"Crime,Drama"
2008,Rachel Getting Married,A-,,,,tt1084950,Rachel Getting Married,,113,"Drama,Romance"
2008,On the Line,A-//B+,"Switzerland, Germany",,Auf der Strecke,,,,,
2008,John & Karen,A-//B+,,,,,,,,
2008,Man on Wire,A-//B+,,,,tt1155592,Man on Wire,,94,"Biography,Crime,Documentary"
2008,Slumdog Millionaire,A-//B+,,,,tt1010048,Slumdog Millionaire,,120,"Drama,Romance"
2008,Changeling,B+,,,,tt0824747,Changeling,,141,"Biography,Crime,Drama"
2008,In Bruges,B+,,,,tt0780536,In Bruges,,107,"Comedy,Crime,Drama"
2008,Milk,B+,,,,tt1013753,Milk,,128,"Biography,Drama"
2008,Departures,,Japan,Japanese,"Okuribito
おくりびと",,,,,
2008,Waltz with Bashir,,Israel,Hebrew,Vals im Bashir,tt1185616,Vals Im Bashir,,90,"Animation,Biography,Documentary"
2008,The Baader Meinhof Complex,,Germany,German,Der Baader Meinhof Komplex,,,,,
2008,I've Loved You So Long,,France,,Il Y A Longtemps Que Je T'Aime,tt1068649,Il y a longtemps que je t'aime,,117,Drama
2008,Split,,France,,Skhizein,,,,,
2008,The Class,,France,French,Entre les murs,,,,,
2008,Revanche,,Austria,German,Revanche,,,,,
2008,Australia,,,,,,,,,
2008,Bolt,,,,,tt0397892,Bolt,,96,"Adventure,Animation,Comedy"
2008,Brideshead Revisited,,,,,tt0412536,Brideshead Revisited,,134,"Drama,Romance"
2008,Defiance,,,,,,,,,
2008,Encounters at the End of the World,,,,,,,,,
2008,Frost/Nixon,,,,,tt0870111,Frost/Nixon,,122,"Biography,Drama,History"
2008,Happy-Go-Lucky,,,,,,,,,
2008,Hellboy II: The Golden Army,,,,,,,,,
2008,Hunger,,,,,tt0986233,Hunger,,96,"Biography,Drama"
2008,Iron Man,,,,,tt0371746,Iron Man,,126,"Action,Adventure,Sci-Fi"
2008,Kung Fu Panda,,,,,tt0441773,Kung Fu Panda,,92,"Action,Adventure,Animation"
2008,La Maison en Petits Cubes,,,,,,,,,
2008,Lavatory – Lovestory,,,,,,,,,
2008,Manon on the Asphalt,,,,,,,,,
2008,Miss Pettigrew Lives for a Day,,,,,tt0970468,Miss Pettigrew Lives for a Day,,92,"Comedy,Romance"
2008,My Blueberry Nights,,,,,,,,,
2008,New Boy,,,,,,,,,
2008,Oktapodi,,,,,,,,,
2008,Presto,,,,,,,,,
2008,Revolutionary Road,,,,,tt0959337,Revolutionary Road,,119,"Drama,Romance"
2008,Smile Pinki,,,,,,,,,
2008,Speed Racer,,,,,tt0811080,Speed Racer,,135,"Action,Adventure,Comedy"
2008,"Synecdoche, New York",,,,,tt0383028,"Synecdoche, New York",,124,Drama
2008,The Betrayal,,,,Nerakhoon,,,,,
2008,The Conscience of Nhem En,,,,,,,,,
2008,The Curious Case of Benjamin Button,,,,,tt0421715,The Curious Case of Benjamin Button,,166,"Drama,Fantasy,Romance"
2008,The Dark Knight,,,,,tt0468569,The Dark Knight,,152,"Action,Crime,Drama"
2008,The Day the Earth Stood Still,,,,,tt0970416,The Day the Earth Stood Still,,104,"Drama,Sci-Fi,Thriller"
2008,The Duchess,,,,,tt0864761,The Duchess,,110,"Biography,Drama,History"
2008,The Final Inch,,,,,,,,,
2008,The Garden,,,,,,,,,
2008,The House of Tiny Cubes,,,,La Maison en Petits Cubes,,,,,
2008,The Pig,,,,Grison,,,,,
2008,The Reader,,,,,tt0976051,The Reader,,124,"Drama,Romance"
2008,The Visitor,,,,,tt0969307,Muukalainen,,105,Drama
2008,The Witness: From the Balcony of Room 306,,,,,,,,,
2008,The Wrestler,,,,,tt1125849,The Wrestler,,109,"Drama,Sport"
2008,This Way Up,,,,,,,,,
2008,Toyland,,,,,,,,,
2008,Tropic Thunder,,,,,tt0942385,Tropic Thunder,,107,"Action,Comedy,War"
2008,Trouble the Water,,,,,,,,,
2008,Vicky Cristina Barcelona,,,,,tt0497465,Vicky Cristina Barcelona,,96,"Comedy,Drama,Romance"
2008,WALL-E,,,,,,,,,
2008,Wall•E,,,,,,,,,
2008,Wanted,,,,,tt0493464,Wanted,,110,"Action,Crime,Thriller"
2008,Wendy and Lucy,,,,,tt1152850,Wendy and Lucy,,80,Drama
2008,,,,,,,,,,
2009,Still Walking,A,France,,,,,,,
2009,A Single Man,A-,,,,tt1315981,A Single Man,,99,"Drama,Romance"
2009,Avatar,A-,,,,tt0499549,Avatar,,162,"Action,Adventure,Fantasy"
2009,Inglorious Basterds,A-,,,,,,,,
2009,The Hurt Locker,A-,,,,,,,,
2009,The Messenger,A-,,,,tt0790712,The Messenger,,113,"Drama,Romance,War"
2009,Up in the Air,A-//B+,,,,tt1193138,Up in the Air,,109,"Comedy,Drama,Romance"
2009,Summer Hours,B+,Norway,,L'Heure d'Été,,,,,
2009,A Prophet,B+,France,"French
Arabic",Un Prophète,tt1235166,Un prophète,,155,"Crime,Drama"
2009,An Education,B+,,,,tt1174732,An Education,,100,Drama
2009,The Private Lives of Pippa Lee,B+,,,,tt1134629,The Private Lives of Pippa Lee,,98,"Comedy,Drama,Romance"
2009,Broken Embraces,,Spain,,Los Abrazos Rotos,tt0913425,Los abrazos rotos,,127,"Drama,Romance,Thriller"
2009,The Milk of Sorrow,,Peru,"Spanish
Quechua",La teta asustada,,,,,
2009,Ajami,,Israel,"Arabic
Hebrew","Ajami
عجمي
עג'מי",,,,,
2009,Séraphine,,Israel,,,,,,,
2009,The White Ribbon,,Germany,German,Das weiße Band,,,,,
2009,The Secret in Their Eyes,,Argentina,Spanish,El secreto de sus ojos,,,,,
2009,2012,,,,,tt1190080,2012,,158,"Action,Adventure,Sci-Fi"
2009,A Matter of Loaf and Death,,,,,,,,,
2009,A Serious Man,,,,,tt1019452,A Serious Man,,106,"Comedy,Drama"
2009,Bright Star,,,,,tt0810784,Bright Star,,119,"Biography,Drama,Romance"
2009,Burma VJ,,,,,,,,,
2009,China's Unnatural Disaster: The Tears of Sichuan Province,,,,,,,,,
2009,Cloudy with a Chance of Meatballs,,,,,tt0844471,Cloudy with a Chance of Meatballs,,90,"Adventure,Animation,Comedy"
2009,Coco Before Chanel,,,,,,,,,
2009,Coraline,,,,,tt0327597,Coraline,,100,"Animation,Drama,Family"
2009,Crazy Heart,,,,,tt1263670,Crazy Heart,,112,"Drama,Music,Romance"
2009,District 9,,,,,tt1136608,District 9,,112,"Action,Sci-Fi,Thriller"
2009,Fantastic Mr. Fox,,,,,tt0432283,Fantastic Mr. Fox,,87,"Adventure,Animation,Comedy"
2009,Fish Tank,,,,,tt1232776,Fish Tank,,123,Drama
2009,"Food, Inc.",,,,,,,,,
2009,French Roast,,,,,,,,,
2009,Granny O'Grimm's Sleeping Beauty,,,,,,,,,
2009,Harry Potter and the Half-Blood Prince,,,,,,,,,
2009,Il Divo,,,,,,,,,
2009,In the Loop,,,,,tt1226774,In the Loop,,106,Comedy
2009,Inglourious Basterds,,,,,tt0361748,Inglourious Basterds,,153,"Adventure,Drama,War"
2009,Instead of Abracadabra,,,,,,,,,
2009,Invictus,,,,,,,,,
2009,It's Complicated,,,,,tt1230414,It's Complicated,,121,"Comedy,Drama,Romance"
2009,Julie & Julia,,,,,tt1135503,Julie & Julia,,123,"Biography,Drama,Romance"
2009,Kavi,,,,,,,,,
2009,Logorama,,,,,,,,,
2009,Miracle Fish,,,,,,,,,
2009,Music by Prudence,,,,,,,,,
2009,New Boy,,,,,,,,,
2009,Nine,,,,,,,,,
2009,On the Line,,,,Auf der Strecke,,,,,
2009,Paris 36,,,,,,,,,
2009,Partly Cloudy,,,,,,,,,
2009,Precious,,,,,,,,,
2009,Precious: Based on the Novel 'Push' by Sapphire,,,,,,,,,
2009,Rabbit à la Berlin,,,,,,,,,
2009,Runaway,,,,,,,,,
2009,Sherlock Holmes,,,,,,,,,
2009,Star Trek,,,,,tt0796366,Star Trek,,127,"Action,Adventure,Sci-Fi"
2009,The Beaches of Agnès,,,,,,,,,
2009,The Blind Side,,,,,,,,,
2009,The Cat Piano,,,,,,,,,
2009,The Cove,,,,,tt1313104,The Cove,,92,"Biography,Crime,Documentary"
2009,The Door,,,,,,,,,
2009,The Imaginarium of Doctor Parnassus,,,,,tt1054606,The Imaginarium of Doctor Parnassus,,123,"Adventure,Comedy,Fantasy"
2009,The Informant!,,,,,tt1130080,The Informant!,,108,"Biography,Comedy,Crime"
2009,The Lady and the Reaper,,,,La Dama y la Muerte,,,,,
2009,The Last Campaign of Governor Booth Gardner,,,,,,,,,
2009,The Last Station,,,,,,,,,
2009,The Last Truck: Closing of a GM Plant,,,,,,,,,
2009,The Lovely Bones,,,,,tt0380510,The Lovely Bones,,135,"Drama,Fantasy,Thriller"
2009,The Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers,,,,,,,,,
2009,The New Tenants,,,,,,,,,
2009,The Pig,,,,Grison,,,,,
2009,The Princess and the Frog,,,,,,,,,
2009,The Road,,,,,tt0898367,The Road,,111,Drama
2009,The Secret of Kells,,,,,tt0485601,The Secret of Kells,,71,"Adventure,Animation,Family"
2009,The Young Victoria,,,,,tt0962736,The Young Victoria,,105,"Biography,Drama,History"
2009,Transformers: Revenge of the Fallen,,,,,,,,,
2009,Up,,,,,tt1049413,Up,,96,"Adventure,Animation,Comedy"
2009,Where the Wild Things Are,,,,,tt0386117,Where the Wild Things Are,,101,"Adventure,Drama,Family"
2009,Which Way Home,,,,,,,,,
2009,,,,,,,,,,
2010,Carlos,A-,France,,,,,,,
2010,Animal Kingdom,A-,,,,tt1313092,Animal Kingdom,,113,"Crime,Drama"
2010,Mother,A-,,,마더,,,,,
2010,The Social Network,A-,,,,tt1285016,The Social Network,,120,"Biography,Drama"
2010,Toy Story 3,A-,,,,tt0435761,Toy Story 3,,103,"Adventure,Animation,Comedy"
2010,Blue Valentine,A-//B+,,,,tt1120985,Blue Valentine,,112,"Drama,Romance"
2010,Exit through the Gift Shop,A-//B+,,,,,,,,
2010,The Kids Are All Right,A-//B+,,,,tt0842926,The Kids Are All Right,,106,"Comedy,Drama,Romance"
2010,Black Swan,A+,,,,tt0947798,Black Swan,,108,"Drama,Thriller"
2010,Somewhere,B+,,,,,,,,
2010,The Ghost Writer,B+,,,,tt1139328,The Ghost Writer,,128,"Crime,Drama,Mystery"
2010,Mother/Murder,,South Korea,,마더,,,,,
2010,Biutiful,,Mexico,Spanish,Biutiful,,,,,
2010,Dogtooth,,Greece,Greek,Kynodontas,,,,,
2010,In a Better World,,Denmark,Danish,Hævnen,,,,,
2010,Incendies,,Canada,French,Incendies,,,,,
2010,Outside the Law,,Algeria,"French
Arabic",Hors-la-loi,,,,,
2010,127 Hours,,,,,tt1542344,127 Hours,,94,"Biography,Drama"
2010,Alice in Wonderland,,,,,tt2049386,Alice in Wonderland,,99,"Fantasy,Musical"
2010,Another Year,,,,,tt1431181,Another Year,,129,"Comedy,Drama"
2010,Barney's Version,,,,,,,,,
2010,Country Strong,,,,,,,,,
2010,Day & Night,,,,,,,,,
2010,Day and Night,,,,,tt1754568,Tag und Nacht,,101,Drama
2010,Exit Through the Gift Shop,,,,,,,,,
2010,Gasland,,,,,,,,,
2010,God of Love,,,,,,,,,
2010,Harry Potter and the Deathly Hallows – Part 1,,,,,,,,,
2010,Hereafter,,,,,,,,,
2010,How to Tame Your Dragon,,,,,,,,,
2010,How to Train Your Dragon,,,,,,,,,
