Year,Year_Ceremony,Ceremony,Category_Globes,Film,Nominee,Win_Globe,Song_Title,Country
2024,2025,82,Best Performance in a Motion Picture – Drama – Actor,The Brutalist,Adrien Brody,TRUE,,
2024,2025,82,Best Performance in a Motion Picture – Drama – Actor,A Complete Unknown,Timothée Chalamet,FALSE,,
2024,2025,82,Best Performance in a Motion Picture – Drama – Actor,Queer,Daniel Craig,FALSE,,
2024,2025,82,Best Performance in a Motion Picture – Drama – Actor,Sing Sing,Colman Domingo,FALSE,,
2024,2025,82,Best Performance in a Motion Picture – Drama – Actor,Conclave,Ralph Fiennes,FALSE,,
2024,2025,82,Best Performance in a Motion Picture – Drama – Actor,The Apprentice,Sebastian Stan,FALSE,,
2024,2025,82,Best Performance in a Motion Picture – Drama – Actress,I'm Still Here,Fernanda Torres,TRUE,,
2024,2025,82,Best Performance in a Motion Picture – Drama – Actress,The Last Showgirl,Pamela Anderson,FALSE,,
2024,2025,82,Best Performance in a Motion Picture – Drama – Actress,Maria,Angelina Jolie,FALSE,,
2024,2025,82,Best Performance in a Motion Picture – Drama – Actress,Babygirl,Nicole Kidman,FALSE,,
2024,2025,82,Best Performance in a Motion Picture – Drama – Actress,The Room Next Door,Tilda Swinton,FALSE,,
2024,2025,82,Best Performance in a Motion Picture – Drama – Actress,Lee,Kate Winslet,FALSE,,
2024,2025,82,Best Performance in a Motion Picture – Musical or Comedy – Actor,A Different Man,Sebastian Stan,TRUE,,
2024,2025,82,Best Performance in a Motion Picture – Musical or Comedy – Actor,A Real Pain,Jesse Eisenberg,FALSE,,
2024,2025,82,Best Performance in a Motion Picture – Musical or Comedy – Actor,Heretic,Hugh Grant,FALSE,,
2024,2025,82,Best Performance in a Motion Picture – Musical or Comedy – Actor,Saturday Night,Gabriel LaBelle,FALSE,,
2024,2025,82,Best Performance in a Motion Picture – Musical or Comedy – Actor,Kinds of Kindness,Jesse Plemons,FALSE,,
2024,2025,82,Best Performance in a Motion Picture – Musical or Comedy – Actor,Hit Man,Glen Powell,FALSE,,
2024,2025,82,Best Performance in a Motion Picture – Musical or Comedy – Actress,The Substance,Demi Moore,TRUE,,
2024,2025,82,Best Performance in a Motion Picture – Musical or Comedy – Actress,Nightbitch,Amy Adams,FALSE,,
2024,2025,82,Best Performance in a Motion Picture – Musical or Comedy – Actress,Wicked,Cynthia Erivo,FALSE,,
2024,2025,82,Best Performance in a Motion Picture – Musical or Comedy – Actress,Emilia Pérez,Karla Sofía Gascón,FALSE,,
2024,2025,82,Best Performance in a Motion Picture – Musical or Comedy – Actress,Anora,Mikey Madison,FALSE,,
2024,2025,82,Best Performance in a Motion Picture – Musical or Comedy – Actress,Challengers,Zendaya,FALSE,,
2024,2025,82,Best Supporting Performance in a Motion Picture – Supporting Actor,A Real Pain,Kieran Culkin,TRUE,,
2024,2025,82,Best Supporting Performance in a Motion Picture – Supporting Actor,Anora,Yura Borisov,FALSE,,
2024,2025,82,Best Supporting Performance in a Motion Picture – Supporting Actor,A Complete Unknown,Edward Norton,FALSE,,
2024,2025,82,Best Supporting Performance in a Motion Picture – Supporting Actor,The Brutalist,Guy Pearce,FALSE,,
2024,2025,82,Best Supporting Performance in a Motion Picture – Supporting Actor,The Apprentice,Jeremy Strong,FALSE,,
2024,2025,82,Best Supporting Performance in a Motion Picture – Supporting Actor,Gladiator II,Denzel Washington,FALSE,,
2024,2025,82,Best Supporting Performance in a Motion Picture – Supporting Actress,Emilia Pérez,Zoe Saldaña,TRUE,,
2024,2025,82,Best Supporting Performance in a Motion Picture – Supporting Actress,Emilia Pérez,Selena Gomez,FALSE,,
2024,2025,82,Best Supporting Performance in a Motion Picture – Supporting Actress,Wicked,Ariana Grande,FALSE,,
2024,2025,82,Best Supporting Performance in a Motion Picture – Supporting Actress,The Brutalist,Felicity Jones,FALSE,,
2024,2025,82,Best Supporting Performance in a Motion Picture – Supporting Actress,The Substance,Margaret Qualley,FALSE,,
2024,2025,82,Best Supporting Performance in a Motion Picture – Supporting Actress,Conclave,Isabella Rossellini,FALSE,,
2024,2025,82,Best Director,The Brutalist,Brady Corbet,TRUE,,
2024,2025,82,Best Director,Emilia Pérez,Jacques Audiard,FALSE,,
2024,2025,82,Best Director,Anora,Sean Baker,FALSE,,
2024,2025,82,Best Director,Conclave,Edward Berger,FALSE,,
2024,2025,82,Best Director,The Substance,Coralie Fargeat,FALSE,,
2024,2025,82,Best Director,All We Imagine as Light,Payal Kapadia,FALSE,,
2024,2025,82,Best Screenplay,Conclave,Peter Straughan,TRUE,,
2024,2025,82,Best Screenplay,Emilia Pérez,Jacques Audiard,FALSE,,
2024,2025,82,Best Screenplay,Anora,Sean Baker,FALSE,,
2024,2025,82,Best Screenplay,The Brutalist,Brady Corbet,FALSE,,
2024,2025,82,Best Screenplay,The Brutalist,Mona Fastvold,FALSE,,
2024,2025,82,Best Screenplay,A Real Pain,Jesse Eisenberg,FALSE,,
2024,2025,82,Best Screenplay,The Substance,Coralie Fargeat,FALSE,,
2024,2025,82,Best Original Score,Challengers,Trent Reznor,TRUE,,
2024,2025,82,Best Original Score,Challengers,Atticus Ross,TRUE,,
2024,2025,82,Best Original Score,Conclave,Volker Bertelmann,FALSE,,
2024,2025,82,Best Original Score,The Brutalist,Daniel Blumberg,FALSE,,
2024,2025,82,Best Original Score,The Wild Robot,Kris Bowers,FALSE,,
2024,2025,82,Best Original Score,Emilia Pérez,Clément Ducol,FALSE,,
2024,2025,82,Best Original Score,Emilia Pérez,Camille,FALSE,,
2024,2025,82,Best Original Score,Dune: Part Two,Hans Zimmer,FALSE,,
2024,2025,82,Best Original Song,Emilia Pérez,Clément Ducol,TRUE,"""El Mal""",
2024,2025,82,Best Original Song,Emilia Pérez,Camille,TRUE,"""El Mal""",
2024,2025,82,Best Original Song,Emilia Pérez,Jacques Audiard,TRUE,"""El Mal""",
2024,2025,82,Best Original Song,The Last Showgirl,Andrew Wyatt,FALSE,"""Beautiful That Way""",
2024,2025,82,Best Original Song,The Last Showgirl,Miley Cyrus,FALSE,"""Beautiful That Way""",
2024,2025,82,Best Original Song,The Last Showgirl,Lykke Li,FALSE,"""Beautiful That Way""",
2024,2025,82,Best Original Song,Challengers,Trent Reznor,FALSE,"""Compress / Repress""",
2024,2025,82,Best Original Song,Challengers,Atticus Ross,FALSE,"""Compress / Repress""",
2024,2025,82,Best Original Song,Challengers,Luca Guadagnino,FALSE,"""Compress / Repress""",
2024,2025,82,Best Original Song,Better Man,Robbie Williams,FALSE,"""Forbidden Road""",
2024,2025,82,Best Original Song,Better Man,Freddy Wexler,FALSE,"""Forbidden Road""",
2024,2025,82,Best Original Song,Better Man,Sacha Skarbek,FALSE,"""Forbidden Road""",
2024,2025,82,Best Original Song,The Wild Robot,Delacey,FALSE,"""Kiss the Sky""",
2024,2025,82,Best Original Song,The Wild Robot,Jordan K. Johnson,FALSE,"""Kiss the Sky""",
2024,2025,82,Best Original Song,The Wild Robot,Stefan Johnson,FALSE,"""Kiss the Sky""",
2024,2025,82,Best Original Song,The Wild Robot,Maren Morris,FALSE,"""Kiss the Sky""",
2024,2025,82,Best Original Song,The Wild Robot,Michael Pollack,FALSE,"""Kiss the Sky""",
2024,2025,82,Best Original Song,The Wild Robot,Ali Tamposi,FALSE,"""Kiss the Sky""",
2024,2025,82,Best Original Song,Emilia Pérez,Clément Ducol,FALSE,"""Mi Camino""",
2024,2025,82,Best Original Song,Emilia Pérez,Camille,FALSE,"""Mi Camino""",
1943,1944,1,Best Performance by an Actor in a Supporting Role in any Motion Picture,For Whom The Bell Tolls,Akim Tamiroff,TRUE,,
1943,1944,1,Best Performance by an Actress in a Supporting Role in any Motion Picture,For Whom The Bell Tolls,Katina Paxinou,TRUE,,
1943,1944,1,Actress In A Leading Role,The Song Of Bernadette,Jennifer Jones,TRUE,,
1943,1944,1,Best Director - Motion Picture,The Song Of Bernadette,Henry King,TRUE,,
1943,1944,1,Picture,The Song Of Bernadette,,TRUE,,
1943,1944,1,Actor In A Leading Role,Watch On The Rhine,Paul Lukas,TRUE,,
1944,1945,2,Actress In A Leading Role,Gaslight,Ingrid Bergman,TRUE,,
1944,1945,2,Best Director - Motion Picture,Going My Way,Leo McCarey,TRUE,,
1944,1945,2,Best Performance by an Actor in a Supporting Role in any Motion Picture,Going My Way,Barry Fitzgerald,TRUE,,
1944,1945,2,Picture,Going My Way,,TRUE,,
1944,1945,2,Best Performance by an Actress in a Supporting Role in any Motion Picture,Mrs. Parkington,Agnes Moorehead,TRUE,,
1944,1945,2,Actor In A Leading Role,Wilson,Alexander Knox,TRUE,,
1945,1946,3,Best Performance by an Actor in a Supporting Role in any Motion Picture,A Medal For Benny,J. Carroll Naish,TRUE,,
1945,1946,3,Actress In A Leading Role,The Bells of St. Mary's,Ingrid Bergman,TRUE,,
1945,1946,3,Promoting International Understanding,The House I Live In,Frank Sinatra,TRUE,,
1945,1946,3,Actor In A Leading Role,The Lost Weekend,Ray Milland,TRUE,,
1945,1946,3,Best Director - Motion Picture,The Lost Weekend,Billy Wilder,TRUE,,
1945,1946,3,Picture,The Lost Weekend,,TRUE,,
1945,1946,3,Best Performance by an Actress in a Supporting Role in any Motion Picture,The Picture of Dorian Gray,Angela Lansbury,TRUE,,
1946,1947,4,Best Director - Motion Picture,It's A Wonderful Life,Frank Capra,TRUE,,
1946,1947,4,Actress In A Leading Role,Sister Kenny,Rosalind Russell,TRUE,,
1946,1947,4,Picture,The Best Years Of Our Lives,,TRUE,,
1946,1947,4,Special Achievement Award,The Best Years Of Our Lives,Harold Russell,FALSE,,
1946,1947,4,Promoting International Understanding,The Last Chance,Leopold Lindtberg,TRUE,,Switzerland
