Category_Globes,Category
Best Director,Director
Best Director - Motion Picture,Director
Best Motion Picture - Animated,Animated Feature-Length Film
Best Motion Picture - Drama,Live-Action Feature-Length Film
Best Motion Picture - Foreign Language,Foreign Film
Best Motion Picture - Musical or Comedy,Live-Action Feature-Length Film
Best Original Score - Motion Picture,Original Score
Best Original Score,Original Score
Best Original Song - Motion Picture,Original Song
Best Original Song,Original Song
Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,
Best Performance in a Motion Picture – Drama – Actor,Actor in a Leading Role
Best Performance in a Motion Picture – Musical or Comedy – Actor,Actor in a Leading Role
Best Male Actor in a Motion Picture - Drama,Actor in a Leading Role
Best Performance by an Actor in a Motion Picture - Drama,Actor in a Leading Role
Best Performance by an Actor in a Motion Picture - Musical or Comedy,Actor in a Leading Role
Best Male Actor in a Motion Picture - Musical or Comedy,Actor in a Leading Role
"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",
Best Supporting Performance in a Motion Picture – Supporting Actor,Actor in a Supporting Role
Best Performance by an Actor in a Supporting Role in any Motion Picture,Actor in a Supporting Role
Best Supporting Male Actor in a Motion Picture,Actor in a Supporting Role
Best Performance by an Actor In A Television Series - Drama,
Best Performance by an Actor in a Television Series - Musical or Comedy,
Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,
Best Performance in a Motion Picture – Drama – Actress,Actress in a Leading Role
Best Female Actor in a Motion Picture - Drama,Actress in a Leading Role
Best Performance in a Motion Picture – Musical or Comedy – Actress,Actress in a Leading Role
Best Female Actor in a Motion Picture - Musical or Comedy,Actress in a Leading Role
Best Performance by an Actress in a Motion Picture - Drama,Actress in a Leading Role
Best Performance by an Actress in a Motion Picture - Musical or Comedy,Actress in a Leading Role
"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",
Best Supporting Performance in a Motion Picture – Supporting Actress,Actress in a Supporting Role
Best Performance by an Actress in a Supporting Role in any Motion Picture,Actress in a Supporting Role
Best Supporting Female Actor in a Motion Picture,Actress in a Supporting Role
Best Performance by an Actress In A Television Series - Drama,
Best Performance by an Actress in a Television Series - Musical or Comedy,
Best Screenplay,Screenplay (Adapted)
Best Screenplay,Screenplay (Original)
Best Screenplay - Motion Picture,Screenplay (Adapted)
Best Screenplay - Motion Picture,Screenplay (Original)
Best Television Limited Series or Motion Picture Made for Television,
Best Television Series - Drama,
Best Television Series - Musical or Comedy,
Carol Burnett Award,
Cecil B. deMille Award,
