Year,Song,Film,Category,Concordance,Won,Role,Nominee
1988,Somewhere Out There,An American Tail,Best Song Written for Visual Media,Original Song,TRUE,Nominee,James Horner
1988,Somewhere Out There,An American Tail,Best Song Written for Visual Media,Original Song,TRUE,Performer,Linda Ronstadt
1988,Somewhere Out There,An American Tail,Best Song Written for Visual Media,Original Song,TRUE,Performer,James Ingram
1988,Somewhere Out There,An American Tail,Best Song Written for Visual Media,Original Song,TRUE,Nominee,Barry Mann
1988,Somewhere Out There,An American Tail,Best Song Written for Visual Media,Original Song,TRUE,Nominee,Cynthia Weil
1988,(I've Had) The Time of My Life,Dirty Dancing,Best Song Written for Visual Media,Original Song,FALSE,Nominee,Franke Previte
1988,(I've Had) The Time of My Life,Dirty Dancing,Best Song Written for Visual Media,Original Song,FALSE,Performer,Bill Medley
1988,(I've Had) The Time of My Life,Dirty Dancing,Best Song Written for Visual Media,Original Song,FALSE,Performer,Jennifer Warnes
1988,(I've Had) The Time of My Life,Dirty Dancing,Best Song Written for Visual Media,Original Song,FALSE,Nominee,John DeNicola
1988,(I've Had) The Time of My Life,Dirty Dancing,Best Song Written for Visual Media,Original Song,FALSE,Nominee,Donald Markowitz
1988,Nothing's Gonna Stop Us Now,Mannequin,Best Song Written for Visual Media,Original Song,FALSE,Nominee,Diane Warren
1988,Nothing's Gonna Stop Us Now,Mannequin,Best Song Written for Visual Media,Original Song,FALSE,Performer,Starship
1988,Nothing's Gonna Stop Us Now,Mannequin,Best Song Written for Visual Media,Original Song,FALSE,Nominee,Albert Hammond
1988,Moonlighting,Moonlighting,Best Song Written for Visual Media,Original Song,FALSE,Nominee,Al Jarreau
1988,Moonlighting,Moonlighting,Best Song Written for Visual Media,Original Song,FALSE,Performer,Al Jarreau
1988,Moonlighting,Moonlighting,Best Song Written for Visual Media,Original Song,FALSE,Nominee,Lee Holdridge
1988,Who's That Girl,Who's That Girl,Best Song Written for Visual Media,Original Song,FALSE,Nominee,Patrick Leonard
1988,Who's That Girl,Who's That Girl,Best Song Written for Visual Media,Original Song,FALSE,Performer,Madonna
1988,Who's That Girl,Who's That Girl,Best Song Written for Visual Media,Original Song,FALSE,Nominee,Madonna
1989,Two Hearts,Buster,Best Song Written for Visual Media,Original Song,TRUE,Nominee,Phil Collins
1989,Two Hearts,Buster,Best Song Written for Visual Media,Original Song,TRUE,Performer,Phil Collins
1989,Two Hearts,Buster,Best Song Written for Visual Media,Original Song,TRUE,Nominee,Lamont Dozier
1989,One Moment in Time,1988 Summer Olympics,Best Song Written for Visual Media,Original Song,FALSE,Nominee,Albert Hammond
1989,One Moment in Time,1988 Summer Olympics,Best Song Written for Visual Media,Original Song,FALSE,Performer,Whitney Houston
1989,One Moment in Time,1988 Summer Olympics,Best Song Written for Visual Media,Original Song,FALSE,Nominee,John Bettis
1989,Century's End,"Bright Lights, Big City",Best Song Written for Visual Media,Original Song,FALSE,Nominee,Donald Fagen
1989,Century's End,"Bright Lights, Big City",Best Song Written for Visual Media,Original Song,FALSE,Performer,Donald Fagen
