Year,Category,Film,Won,Nominee,Role,Supervising,Concordance,Country
2024,Documentary Music,Music by John Williams,TRUE,Ramiro Belgardt,music editor,TRUE,,
2024,Documentary Music,Music by John Williams,TRUE,Christopher Barnett,music editor,FALSE,,
2024,Documentary Music,Music by John Williams,TRUE,Roy Waldspurger,music editor,FALSE,,
2024,Documentary Music,Beatles '64,FALSE,John M. Davis,music editor,FALSE,,
2024,Documentary Music,Elton John: Never Too Late,FALSE,Michael Brake,music editor,FALSE,,
2024,Documentary Music,The Greatest Night in Pop,FALSE,Gavin Allingham,music editor,FALSE,,
2024,Documentary Music,Jim Henson Idea Man,FALSE,Ryan Rubin,music editor,TRUE,,
2024,Feature Animation,The Wild Robot,TRUE,Malcolm Fife,foley editor,FALSE,Sound Editing,
2024,Feature Animation,The Wild Robot,TRUE,Dee Selby,foley editor,FALSE,Sound Editing,
2024,Feature Animation,The Wild Robot,TRUE,Brian Chumney,sound editor,TRUE,Sound Editing,
2024,Feature Animation,The Wild Robot,TRUE,Leff Lefferts,sound editor,TRUE,Sound Editing,
2024,Feature Animation,The Wild Robot,TRUE,Randy Thom,sound designer,FALSE,Sound Editing,
2024,Feature Animation,The Wild Robot,TRUE,David Farmer,sound effects editor,FALSE,Sound Editing,
2024,Feature Animation,The Wild Robot,TRUE,David Hughes,sound effects editor,FALSE,Sound Editing,
2024,Feature Animation,The Wild Robot,TRUE,Jamey Scott,sound effects editor,FALSE,Sound Editing,
2024,Feature Animation,The Wild Robot,TRUE,Rich Quinn,dialogue editor,FALSE,Sound Editing,
2024,Feature Animation,Mufasa: The Lion King,FALSE,Luke Gibleon,sound designer,FALSE,Sound Editing,
2024,Feature Animation,Mufasa: The Lion King,FALSE,Jason W. Jennings,sound designer,FALSE,Sound Editing,
2024,Feature Animation,Mufasa: The Lion King,FALSE,Benjamin L. Cook,sound effects editor,FALSE,Sound Editing,
2024,Feature Animation,Mufasa: The Lion King,FALSE,Katie Halliday,sound effects editor,FALSE,Sound Editing,
