Year,Category,Film,Nominee,Concordance,Won
2024,Best Contemporary Hair Styling,The Deliverance,Melissa Forney,Make-Up & Hairstyling,FALSE
2024,Best Contemporary Hair Styling,The Deliverance,Linda Flowers,Make-Up & Hairstyling,FALSE
2024,Best Contemporary Hair Styling,The Deliverance,Tommie Ammons,Make-Up & Hairstyling,FALSE
2024,Best Contemporary Hair Styling,The Deliverance,Jackie Noel,Make-Up & Hairstyling,FALSE
2024,Best Contemporary Hair Styling,The Deliverance,Eric Matthews,Make-Up & Hairstyling,FALSE
2024,Best Contemporary Hair Styling,It Ends with Us,Robert Lugo,Make-Up & Hairstyling,FALSE
2024,Best Contemporary Hair Styling,It Ends with Us,Vita Viscuso,Make-Up & Hairstyling,FALSE
2024,Best Contemporary Hair Styling,It Ends with Us,Anne Carroll,Make-Up & Hairstyling,FALSE
2024,Best Contemporary Hair Styling,The Last Showgirl,Katy McClintock,Make-Up & Hairstyling,TRUE
2024,Best Contemporary Hair Styling,The Last Showgirl,Marc Boyle,Make-Up & Hairstyling,TRUE
2024,Best Contemporary Hair Styling,The Last Showgirl,Stephanie Hobgood,Make-Up & Hairstyling,TRUE
2024,Best Contemporary Hair Styling,Megalopolis,Terrie Velazquez Owen,Make-Up & Hairstyling,FALSE
2024,Best Contemporary Hair Styling,Megalopolis,April Schuller,Make-Up & Hairstyling,FALSE
2024,Best Contemporary Hair Styling,Megalopolis,Tracy Moss,Make-Up & Hairstyling,FALSE
2024,Best Contemporary Hair Styling,Megalopolis,Victor Paz,Make-Up & Hairstyling,FALSE
2024,Best Contemporary Hair Styling,Megalopolis,Alexis Continenente,Make-Up & Hairstyling,FALSE
2024,Best Contemporary Hair Styling,The Substance,Frédérique Arguello,Make-Up & Hairstyling,FALSE
2024,Best Contemporary Make-Up,The Deliverance,Beverly Jo Pryor,Make-Up & Hairstyling,FALSE
2024,Best Contemporary Make-Up,The Deliverance,Eric Pagdin,Make-Up & Hairstyling,FALSE
2024,Best Contemporary Make-Up,The Deliverance,Chloe Sens,Make-Up & Hairstyling,FALSE
2024,Best Contemporary Make-Up,The Deliverance,Doug Fairall,Make-Up & Hairstyling,FALSE
2024,Best Contemporary Make-Up,Emlia Pérez,Julia Floch Carbonel,Make-Up & Hairstyling,FALSE
2024,Best Contemporary Make-Up,Emilia Pérez,Simon Livet,Make-Up & Hairstyling,FALSE
2024,Best Contemporary Make-Up,It Ends with Us,Sarah Graalman,Make-Up & Hairstyling,FALSE
2024,Best Contemporary Make-Up,It Ends with Us,Vivian Baker,Make-Up & Hairstyling,FALSE
2024,Best Contemporary Make-Up,It Ends with Us,Melanie Licata,Make-Up & Hairstyling,FALSE
2024,Best Contemporary Make-Up,Smile 2,Sasha Grossman,Make-Up & Hairstyling,FALSE
2024,Best Contemporary Make-Up,Smile 2,Valerie Carney,Make-Up & Hairstyling,FALSE
2024,Best Contemporary Make-Up,The Substance,Stéphanie Guillon,Make-Up & Hairstyling,TRUE
2024,Best Period and/or Character Make-Up,Beetlejuice Beetlejuice,Christine Blundell,Make-Up & Hairstyling,FALSE
2024,Best Period and/or Character Make-Up,Beetlejuice Beetlejuice,Lesa Warrener,Make-Up & Hairstyling,FALSE
2024,Best Period and/or Character Make-Up,Beetlejuice Beetlejuice,Charmaine Fuller,Make-Up & Hairstyling,FALSE
2024,Best Period and/or Character Make-Up,Beetlejuice Beetlejuice,Mona Turnbull,Make-Up & Hairstyling,FALSE
2024,Best Period and/or Character Make-Up,Beetlejuice Beetlejuice,Chloe Meddings,Make-Up & Hairstyling,FALSE
2024,Best Period and/or Character Make-Up,Deadpool & Wolverine,Bill Corso,Make-Up & Hairstyling,FALSE
2024,Best Period and/or Character Make-Up,Deadpool & Wolverine,Whitney James,Make-Up & Hairstyling,FALSE
2024,Best Period and/or Character Make-Up,Deadpool & Wolverine,Paula Price,Make-Up & Hairstyling,FALSE
2024,Best Period and/or Character Make-Up,Deadpool & Wolverine,Monica Huppert,Make-Up & Hairstyling,FALSE
2024,Best Period and/or Character Make-Up,Deadpool & Wolverine,Cyndi Reece-Thorne,Make-Up & Hairstyling,FALSE
2024,Best Period and/or Character Make-Up,Gladiator II,Jana Carboni,Make-Up & Hairstyling,FALSE
2024,Best Period and/or Character Make-Up,Gladiator II,Charlie Hounslow,Make-Up & Hairstyling,FALSE
2024,Best Period and/or Character Make-Up,Gladiator II,Maria Solberg Lepre,Make-Up & Hairstyling,FALSE
2024,Best Period and/or Character Make-Up,Gladiator II,Lauren Baldwin,Make-Up & Hairstyling,FALSE
2024,Best Period and/or Character Make-Up,Gladiator II,Chantal Busuttil,Make-Up & Hairstyling,FALSE
2024,Best Period and/or Character Make-Up,MaXXXine,Sarah Rubano,Make-Up & Hairstyling,FALSE
2024,Best Period and/or Character Make-Up,MaXXXine,Mandy Artusato,Make-Up & Hairstyling,FALSE
2024,Best Period and/or Character Make-Up,MaXXXine,Akiko Matsumoto,Make-Up & Hairstyling,FALSE
2024,Best Period and/or Character Make-Up,Wicked,Frances Hannon,Make-Up & Hairstyling,TRUE
2024,Best Period and/or Character Make-Up,Wicked,Alice Jones,Make-Up & Hairstyling,TRUE
2024,Best Period and/or Character Make-Up,Wicked,Nuria Mbornio,Make-Up & Hairstyling,TRUE
2024,Best Period and/or Character Make-Up,Wicked,Johanna Nielsen,Make-Up & Hairstyling,TRUE
2024,Best Period and/or Character Make-Up,Wicked,Branka Vorkapic,Make-Up & Hairstyling,TRUE
2024,Best Period Hair Styling and/or Character Hair Styling,Beetlejuice Beetlejuice,Christine Blundell,Make-Up & Hairstyling,FALSE
2024,Best Period Hair Styling and/or Character Hair Styling,Beetlejuice Beetlejuice,Lesa Warrener,Make-Up & Hairstyling,FALSE
2024,Best Period Hair Styling and/or Character Hair Styling,Beetlejuice Beetlejuice,Susan Cole,Make-Up & Hairstyling,FALSE
2024,Best Period Hair Styling and/or Character Hair Styling,Beetlejuice Beetlejuice,Charmaine Fuller,Make-Up & Hairstyling,FALSE
2024,Best Period Hair Styling and/or Character Hair Styling,Beetlejuice Beetlejuice,Chloe Meddings,Make-Up & Hairstyling,FALSE
2024,Best Period Hair Styling and/or Character Hair Styling,Bob Marley: One Love,Carla Farmer,Make-Up & Hairstyling,FALSE
2024,Best Period Hair Styling and/or Character Hair Styling,Bob Marley: One Love,Nadia Stacey,Make-Up & Hairstyling,FALSE
2024,Best Period Hair Styling and/or Character Hair Styling,Bob Marley: One Love,Morris Roots,Make-Up & Hairstyling,FALSE
2024,Best Period Hair Styling and/or Character Hair Styling,Gladiator II,Giuliano Mariano,Make-Up & Hairstyling,FALSE
