Year,Film,Category,Outcome,Role,Title,p_id,Nominated
2005,Brokeback Mountain,Actor in a Leading Role,Won,Ennis Del Mar,,p000925,TRUE
2005,Brokeback Mountain,Actor in a Supporting Role,Won,Jack Twist,,p000622,TRUE
2005,Walk the Line,Actress in a Leading Role,Won,June Carter Cash,,p001744,TRUE
2005,Brokeback Mountain,Actress in a Supporting Role,Won,Alma Beers,,p001732,TRUE
2005,The Mysterious Geographic Explorations of Jasper Morello,Animated Short Film,Won,,,p000972,TRUE
2005,Pride & Prejudice,Art Direction,Won,Production design,,p000605,TRUE
2005,Pride & Prejudice,Art Direction,Won,Set decoration,,p001534,TRUE
2005,"Good Night, & Good Luck",Cinematography,Won,,,p000433,TRUE
2005,Memoirs of a Geisha,Costuming,Won,,,p000059,TRUE
2005,Brokeback Mountain,Director,Won,,,p000927,TRUE
2005,March of the Penguins,Documentary Film,Won,,,p000347,TRUE
2005,March of the Penguins,Documentary Film,Won,,,p000767,TRUE
2005,King Kong,Effects,Won,,,p000942,TRUE
2005,King Kong,Effects,Won,,,p001365,TRUE
2005,King Kong,Effects,Won,,,p001598,TRUE
2005,King Kong,Effects,Won,,,p001646,TRUE
2005,Crash,Film Editing,Won,,,p001741,TRUE
2005,Brokeback Mountain,Live-Action Feature-Length Film,Won,,,p001222,TRUE
2005,Brokeback Mountain,Live-Action Feature-Length Film,Won,,,p001434,TRUE
2005,Six Shooter,Live-Action Short Film,Won,,,p001043,TRUE
2005,Brokeback Mountain,Original Song,Won,,The Maker Makes,p001667,TRUE
2005,Brokeback Mountain,Screenplay (Adapted),Won,,The short story by Annie Proulx,p001057,TRUE
2005,Brokeback Mountain,Screenplay (Adapted),Won,,The short story by Annie Proulx,p001222,TRUE
2005,The Squid and the Whale,Screenplay (Original),Won,,,p000090,TRUE
2005,King Kong,Sound Editing,Won,,,p000729,TRUE
2005,King Kong,Sound Editing,Won,,,p001804,TRUE
2005,Walk the Line,Sound Mixing,Won,,,p000688,TRUE
2005,Walk the Line,Sound Mixing,Won,,,p000876,TRUE
2005,Walk the Line,Sound Mixing,Won,,,p001024,TRUE
2005,The Squid and the Whale,Special Visionary Film,Won,,,p000090,TRUE
2006,Blood Diamond,Actor in a Leading Role,Lost,Danny Archer,,p000379,TRUE
2006,Half Nelson,Actor in a Leading Role,Lost,Dan Dunne,,p000586,TRUE
2006,Venus,Actor in a Leading Role,Won,Maurice Russell,,p001198,TRUE
2006,Little Children,Actor in a Supporting Role,Won,Ronald James McGorvey,,p000633,TRUE
2006,Little Miss Sunshine,Actor in a Supporting Role,Lost,Edwin Hoover,,p000048,TRUE
2006,The Departed,Actor in a Supporting Role,Lost,Staff Sgt. Sean Dignam,,p001666,TRUE
2006,Little Children,Actress in a Leading Role,Lost,Sarah Pierce,,p001743,TRUE
2006,Notes on a Scandal,Actress in a Leading Role,Lost,Barbara Covett,,p000372,TRUE
2006,The Devil Wears Prada,Actress in a Leading Role,Won,Miranda Priestly,,p001568,TRUE
2006,The Queen,Actress in a Leading Role,Won,Queen Elizabeth II,,p001101,TRUE
2006,Volver,Actress in a Leading Role,Lost,Raimunda,,p000330,TRUE
2006,Babel,Actress in a Supporting Role,Lost,Chieko Wataya,,p000830,TRUE
2006,Little Miss Sunshine,Actress in a Supporting Role,Lost,Olive Hoover,,p000167,TRUE
2006,Notes on a Scandal,Actress in a Supporting Role,Lost,"Bathsheba ""Sheba"" Hart",,p000135,TRUE
2006,Running with Scissors,Actress in a Supporting Role,Won,Deirdre Burroughs,,p000116,TRUE
2006,Cars,Animated Feature-Length Film,Lost,,,p000913,TRUE
2006,Monster House,Animated Feature-Length Film,Won,,,p000822,TRUE
2006,Lifted,Animated Short Film,Won,,,p001410,TRUE
2006,Maestro,Animated Short Film,Lost,,,p001636,TRUE
2006,The Danish Poet,Animated Short Film,Lost,,,p000865,TRUE
2006,The Little Matchgirl,Animated Short Film,Lost,,,p000025,TRUE
2006,The Little Matchgirl,Animated Short Film,Lost,,,p000628,TRUE
2006,Pan's Labyrinth,Art Direction,Won,Production design,,p000209,TRUE
2006,Pan's Labyrinth,Art Direction,Won,Set decoration,,p001349,TRUE
2006,Pirates of the Caribbean: Dead Man's Chest,Art Direction,Lost,Set decoration,,p000226,TRUE
2006,Pirates of the Caribbean: Dead Man's Chest,Art Direction,Lost,Production design,,p000681,TRUE
2006,Children of Men,Cinematography,Lost,,,p000971,TRUE
2006,Little Children,Cinematography,Won,,,p000213,TRUE
2006,Little Miss Sunshine,Cinematography,Lost,,,p001572,TRUE
2006,Little Children,Costuming,Lost,,,p000418,TRUE
2006,Little Miss Sunshine,Costuming,Lost,,,p001546,TRUE
2006,Marie Antoinette,Costuming,Won,,,p000223,TRUE
2006,The Devil Wears Prada,Costuming,Lost,,,p000471,TRUE
2006,The Queen,Costuming,Lost,,,p000159,TRUE
2006,Little Children,Director,Won,,,p000473,TRUE
2006,Little Miss Sunshine,Director,Lost,,,p000359,TRUE
2006,Little Miss Sunshine,Director,Lost,,,p000452,TRUE
2006,The Departed,Director,Lost,,,p001454,TRUE
2006,The Queen,Director,Lost,,,p000518,TRUE
2006,An Inconvenient Truth,Documentary Film,Won,,,p000616,TRUE
2006,Pirates of the Caribbean: Dead Man's Chest,Effects,Won,,,p000554,TRUE
2006,Pirates of the Caribbean: Dead Man's Chest,Effects,Won,,,p000635,TRUE
2006,Pirates of the Caribbean: Dead Man's Chest,Effects,Won,,,p000704,TRUE
2006,Pirates of the Caribbean: Dead Man's Chest,Effects,Won,,,p000855,TRUE
2006,Children of Men,Film Editing,Lost,,,p000331,TRUE
2006,Children of Men,Film Editing,Lost,,,p001377,TRUE
2006,Little Children,Film Editing,Lost,,,p001629,TRUE
2006,The Departed,Film Editing,Won,,,p001440,TRUE
2006,United 93,Film Editing,Lost,,,p000396,TRUE
2006,United 93,Film Editing,Lost,,,p001394,TRUE
2006,Pan's Labyrinth,Foreign Film,Won,,,p001798,TRUE
2006,Little Children,Live-Action Feature-Length Film,Won,,,p000121,TRUE
2006,Little Children,Live-Action Feature-Length Film,Won,,,p001766,TRUE
2006,Little Miss Sunshine,Live-Action Feature-Length Film,Lost,,,p000524,TRUE
2006,Little Miss Sunshine,Live-Action Feature-Length Film,Lost,,,p001426,TRUE
2006,Little Miss Sunshine,Live-Action Feature-Length Film,Lost,,,p001635,TRUE
2006,The Queen,Live-Action Feature-Length Film,Lost,,,p000661,TRUE
2006,The Queen,Live-Action Feature-Length Film,Lost,,,p000904,TRUE
