Oscars,Category
Director,Director
Actor in a Leading Role,Actor in a Leading Role
Actress in a Leading Role,Actress in a Leading Role
Actor in a Supporting Role,Actor in a Supporting Role
Actress in a Supporting Role,Actress in a Supporting Role
Original Score,Original Score
Cinematography,Cinematography
Sound Mixing,Sound Mixing
Sound Editing,Sound Editing
Original Song,Original Song
Original Screenplay,Screenplay (Original)
Adapted Screenplay,Screenplay (Adapted)
Foreign Language Film,Foreign Film
Documentary Feature,Documentary Film
Documentary Short,Documentary Film
Live-Action Short,Live-Action Short Film
Animated Short,Animated Short Film
Costume Design,Costuming
Editing,Film Editing
Visual Effects,Effects
Make-Up,Make-Up & Hairstyling
Animated Feature,Animated Feature-Length Film
Best Picture,Live-Action Feature-Length Film
Production Design,Art Direction
International Feature,International Feature-Length Film
International Feature,Foreign Film
Sound,Sound Mixing
Sound,Sound Editing
Directing,Director
Writing (Adapted Screenplay),Screenplay (Adapted)
Writing (Original Screenplay),Screenplay (Original)
Animated Feature Film,Animated Feature-Length Film
Animated Short Film,Animated Short Film
Documentary Feature Film,Documentary Film
Documentary Short Film,Documentary Film
Film Editing,Film Editing
International Feature Film,International Feature-Length Film
Live Action Short Film,Live-Action Short Film
Makeup and Hairstyling,Make-Up & Hairstyling
Music (Original Score),Original Score
Music (Original Song),Original Song
Directing,Directing
Film Editing,Editing
International Feature Film,Foreign Film
