Year,Category,Film,Nominee,Concordance,Won
1989,Darryl F. Zanuck Award for Outstanding Producer of Theatrical Motion Pictures,Driving Miss Daisy,Lili Fini Zanuck,Live-Action Feature-Length Film,TRUE
1989,Darryl F. Zanuck Award for Outstanding Producer of Theatrical Motion Pictures,Driving Miss Daisy,Richard D. Zanuck,Live-Action Feature-Length Film,TRUE
1990,Darryl F. Zanuck Award for Outstanding Producer of Theatrical Motion Pictures,Dances with Wolves,Jim Wilson,Live-Action Feature-Length Film,TRUE
1990,Darryl F. Zanuck Award for Outstanding Producer of Theatrical Motion Pictures,Dances with Wolves,Kevin Costner,Live-Action Feature-Length Film,TRUE
1991,Darryl F. Zanuck Award for Outstanding Producer of Theatrical Motion Pictures,The Silence of the Lambs,Edward Saxon,Live-Action Feature-Length Film,TRUE
1991,Darryl F. Zanuck Award for Outstanding Producer of Theatrical Motion Pictures,The Silence of the Lambs,Kenneth Utt,Live-Action Feature-Length Film,TRUE
1991,Darryl F. Zanuck Award for Outstanding Producer of Theatrical Motion Pictures,The Silence of the Lambs,Ron Bozman,Live-Action Feature-Length Film,TRUE
1991,Darryl F. Zanuck Award for Outstanding Producer of Theatrical Motion Pictures,At Play in the Fields of the Lord,Saul Zaentz,Live-Action Feature-Length Film,FALSE
1991,Darryl F. Zanuck Award for Outstanding Producer of Theatrical Motion Pictures,Boyz n the Hood,Steve Nicolaides,Live-Action Feature-Length Film,FALSE
1991,Darryl F. Zanuck Award for Outstanding Producer of Theatrical Motion Pictures,The Commitments,Roger Randall-Cutler,Live-Action Feature-Length Film,FALSE
1991,Darryl F. Zanuck Award for Outstanding Producer of Theatrical Motion Pictures,The Commitments,Lynda Myles,Live-Action Feature-Length Film,FALSE
1991,Darryl F. Zanuck Award for Outstanding Producer of Theatrical Motion Pictures,JFK,A. Kitman Ho,Live-Action Feature-Length Film,FALSE
1991,Darryl F. Zanuck Award for Outstanding Producer of Theatrical Motion Pictures,JFK,Oliver Stone,Live-Action Feature-Length Film,FALSE
1991,Darryl F. Zanuck Award for Outstanding Producer of Theatrical Motion Pictures,The Prince of Tides,Barbra Streisand,Live-Action Feature-Length Film,FALSE
1991,Darryl F. Zanuck Award for Outstanding Producer of Theatrical Motion Pictures,The Prince of Tides,Andrew Karsch,Live-Action Feature-Length Film,FALSE
1992,Darryl F. Zanuck Award for Outstanding Producer of Theatrical Motion Pictures,The Crying Game,Stephen Woolley,Live-Action Feature-Length Film,TRUE
1992,Darryl F. Zanuck Award for Outstanding Producer of Theatrical Motion Pictures,A Few Good Men,Rob Reiner,Live-Action Feature-Length Film,FALSE
1992,Darryl F. Zanuck Award for Outstanding Producer of Theatrical Motion Pictures,A Few Good Men,David Brown,Live-Action Feature-Length Film,FALSE
1992,Darryl F. Zanuck Award for Outstanding Producer of Theatrical Motion Pictures,A Few Good Men,Andrew Scheinman,Live-Action Feature-Length Film,FALSE
1992,Darryl F. Zanuck Award for Outstanding Producer of Theatrical Motion Pictures,Howards End,Ismail Merchant,Live-Action Feature-Length Film,FALSE
1992,Darryl F. Zanuck Award for Outstanding Producer of Theatrical Motion Pictures,Scent of a Woman,Martin Brest,Live-Action Feature-Length Film,FALSE
1992,Darryl F. Zanuck Award for Outstanding Producer of Theatrical Motion Pictures,Unforgiven,Clint Eastwood,Live-Action Feature-Length Film,FALSE
