Nominee,Film,Category,Year,Show,Concordance,Won
Big Bill Morganfield,A Complete Unknown,Cast In A Motion Picture,2024,31st Annual,,FALSE
Boyd Holbrook,A Complete Unknown,Cast In A Motion Picture,2024,31st Annual,,FALSE
Dan Fogler,A Complete Unknown,Cast In A Motion Picture,2024,31st Annual,,FALSE
Edward Norton,A Complete Unknown,Cast In A Motion Picture,2024,31st Annual,,FALSE
Elle Fanning,A Complete Unknown,Cast In A Motion Picture,2024,31st Annual,,FALSE
Eriko Hatsune,A Complete Unknown,Cast In A Motion Picture,2024,31st Annual,,FALSE
Monica Barbaro,A Complete Unknown,Cast In A Motion Picture,2024,31st Annual,,FALSE
Norbert Leo Butz,A Complete Unknown,Cast In A Motion Picture,2024,31st Annual,,FALSE
Scoot McNairy,A Complete Unknown,Cast In A Motion Picture,2024,31st Annual,,FALSE
Timothée Chalamet,A Complete Unknown,Cast In A Motion Picture,2024,31st Annual,,FALSE
Will Harrison,A Complete Unknown,Cast In A Motion Picture,2024,31st Annual,,FALSE
Aleksey Serebryakov,Anora,Cast In A Motion Picture,2024,31st Annual,,FALSE
Karren Karagulian,Anora,Cast In A Motion Picture,2024,31st Annual,,FALSE
Mark Eydelshteyn,Anora,Cast In A Motion Picture,2024,31st Annual,,FALSE
Mikey Madison,Anora,Cast In A Motion Picture,2024,31st Annual,,FALSE
Vache Tovmasyan,Anora,Cast In A Motion Picture,2024,31st Annual,,FALSE
Yura Borisov,Anora,Cast In A Motion Picture,2024,31st Annual,,FALSE
Isabella Rossellini,Conclave,Cast In A Motion Picture,2024,31st Annual,,TRUE
John Lithgow,Conclave,Cast In A Motion Picture,2024,31st Annual,,TRUE
Lucian Msamati,Conclave,Cast In A Motion Picture,2024,31st Annual,,TRUE
Ralph Fiennes,Conclave,Cast In A Motion Picture,2024,31st Annual,,TRUE
Sergio Castellitto,Conclave,Cast In A Motion Picture,2024,31st Annual,,TRUE
Stanley Tucci,Conclave,Cast In A Motion Picture,2024,31st Annual,,TRUE
Adriana Paz,Emilia Pérez,Cast In A Motion Picture,2024,31st Annual,,FALSE
Karla Sofía Gascón,Emilia Pérez,Cast In A Motion Picture,2024,31st Annual,,FALSE
Selena Gomez,Emilia Pérez,Cast In A Motion Picture,2024,31st Annual,,FALSE
Zoe Saldaña,Emilia Pérez,Cast In A Motion Picture,2024,31st Annual,,FALSE
Ariana Grande,Wicked,Cast In A Motion Picture,2024,31st Annual,,FALSE
Bowen Yang,Wicked,Cast In A Motion Picture,2024,31st Annual,,FALSE
Cynthia Erivo,Wicked,Cast In A Motion Picture,2024,31st Annual,,FALSE
