Year,Category,Film,Nominee,Song_Title,Won,Concordance
2024,Best Studio Film Score,Emilia Pérez,Clément Ducol,,FALSE,Original Score
2024,Best Studio Film Score,Emilia Pérez,Camille,,FALSE,Original Score
2024,Best Studio Film Score,Dune: Part Two,Hans Zimmer,,FALSE,Original Score
2024,Best Studio Film Score,Gladiator II,Harry Gregson-Williams,,FALSE,Original Score
2024,Best Studio Film Score,Wicked,John Powell,,FALSE,Original Score
2024,Best Studio Film Score,Wicked,Stephen Schwartz,,FALSE,Original Score
2024,Best Studio Film Score,The Wild Robot,Kris Bowers,,TRUE,Original Score
2024,Best Studio Film Score,Conclave,Volker Bertelmann,,FALSE,Original Score
2024,Best Independent Film Score,Heretic,Chris Bacon,,FALSE,Original Score
2024,Best Independent Film Score,The Brutalist,Daniel Blumberg,,TRUE,Original Score
2024,Best Independent Film Score,Meet Me Next Christmas,Dara Taylor,,FALSE,Original Score
2024,Best Independent Film Score,Here After,Fabrizio Mancinelli,,FALSE,Original Score
2024,Best Independent Film Score,Winner,Heather McIntosh,,FALSE,Original Score
2024,Best Independent Film Score,The Book of Jobs,Stephanie Economou,,FALSE,Original Score
2024,Outstanding Original Song for a Comedy or Musical Visual Media Production,Moana 2,Abigail Barlow,Beyond,FALSE,Original Song
2024,Outstanding Original Song for a Comedy or Musical Visual Media Production,Moana 2,Emily Bear,Beyond,FALSE,Original Song
2024,Outstanding Original Song for a Comedy or Musical Visual Media Production,Emilia Pérez,Clément Ducol,Mi Camino,FALSE,Original Song
2024,Outstanding Original Song for a Comedy or Musical Visual Media Production,Emilia Pérez,Camille,Mi Camino,FALSE,Original Song
2024,Outstanding Original Song for a Comedy or Musical Visual Media Production,Emilia Pérez,Clément Ducol,El Mal,FALSE,Original Song
2024,Outstanding Original Song for a Comedy or Musical Visual Media Production,Emilia Pérez,Camille,El Mal,FALSE,Original Song
2024,Outstanding Original Song for a Comedy or Musical Visual Media Production,Emilia Pérez,Jacques Audiard,El Mal,FALSE,Original Song
2024,Outstanding Original Song for a Comedy or Musical Visual Media Production,Twisters,Lainey Wilson,Out of Oklahoma,FALSE,Original Song
2024,Outstanding Original Song for a Comedy or Musical Visual Media Production,Twisters,Luke Dick,Out of Oklahoma,FALSE,Original Song
2024,Outstanding Original Song for a Comedy or Musical Visual Media Production,Twisters,Shane McAnally,Out of Oklahoma,FALSE,Original Song
2024,Outstanding Original Song for a Comedy or Musical Visual Media Production,Better Man,Robbie Williams,Forbidden Road,FALSE,Original Song
2024,Outstanding Original Song for a Comedy or Musical Visual Media Production,Better Man,Freddy Wexler,Forbidden Road,FALSE,Original Song
2024,Outstanding Original Song for a Comedy or Musical Visual Media Production,Better Man,Sacha Skarbek,Forbidden Road,FALSE,Original Song
2024,Outstanding Original Song for a Comedy or Musical Visual Media Production,Challengers,Trent Reznor,Compress/Repress,TRUE,Original Song
2024,Outstanding Original Song for a Comedy or Musical Visual Media Production,Challengers,Atticus Ross,Compress/Repress,TRUE,Original Song
2024,Outstanding Original Song for a Comedy or Musical Visual Media Production,Challengers,Luca Guadagnino,Compress/Repress,TRUE,Original Song
2024,Outstanding Original Song for a Dramatic or Documentary Visual Media Production,The Last Showgirl,Andrew Wyatt,Beautiful That Way,FALSE,Original Song
2024,Outstanding Original Song for a Dramatic or Documentary Visual Media Production,The Last Showgirl,Lykke Li,Beautiful That Way,FALSE,Original Song
2024,Outstanding Original Song for a Dramatic or Documentary Visual Media Production,The Last Showgirl,Miley Cyrus,Beautiful That Way,FALSE,Original Song
2024,Outstanding Original Song for a Dramatic or Documentary Visual Media Production,The Lord of the Rings: The Rings of Power,Bear McCreary,Old Tom Bombadil,FALSE,Original Song
2024,Outstanding Original Song for a Dramatic or Documentary Visual Media Production,The Boys,Christopher Lennertz,Let's Put the Christ Back in Christmas,FALSE,Original Song
2024,Outstanding Original Song for a Dramatic or Documentary Visual Media Production,The Six Triple Eight,Dianne Warren,The Journey,TRUE,Original Song
2024,Outstanding Original Song for a Dramatic or Documentary Visual Media Production,Elton John: Never Too Late,Elton John,Never Too Late,FALSE,Original Song
2024,Outstanding Original Song for a Dramatic or Documentary Visual Media Production,Elton John: Never Too Late,Brandi Carlile,Never Too Late,FALSE,Original Song
2024,Outstanding Original Song for a Dramatic or Documentary Visual Media Production,Elton John: Never Too Late,Bernie Taupin,Never Too Late,FALSE,Original Song
2024,Outstanding Original Song for a Dramatic or Documentary Visual Media Production,Elton John: Never Too Late,Andrew Watt,Never Too Late,FALSE,Original Song
2024,Outstanding Original Song for a Dramatic or Documentary Visual Media Production,Blitz,Nicholas Britell,Winter Coat,FALSE,Original Song
2024,Outstanding Original Song for a Dramatic or Documentary Visual Media Production,Blitz,Steve McQueen,Winter Coat,FALSE,Original Song
2024,Outstanding Original Song for a Dramatic or Documentary Visual Media Production,Blitz,Taura Stinson,Winter Coat,FALSE,Original Song
2023,Best Studio Film Score,The Boy and the Heron,Joe Hisaishi,,FALSE,Original Score
2023,Best Studio Film Score,Oppenheimer,Ludwig Göransson,,TRUE,Original Score
2023,Best Studio Film Score,American Fiction,Laura Karpman,,FALSE,Original Score
2023,Best Studio Film Score,Killers of the Flower Moon,Robbie Robertson,,FALSE,Original Score
2023,Best Studio Film Score,Saltburn,Anthony Willis,,FALSE,Original Score
2023,Best Independent Film Score,American Symphony,Jon Batiste,,FALSE,Original Score
2023,Best Independent Film Score,The Zone of Interest,Mica Levi,,FALSE,Original Score
2023,Best Independent Film Score,Mushka,Fabrizio Mancinelli,,FALSE,Original Score
2023,Best Independent Film Score,Mushka,Richard M. Sherman,,FALSE,Original Score
2023,Best Independent Film Score,Ferrari,Daniel Pemberton,,FALSE,Original Score
2023,Best Independent Film Score,Still: A Michael J. Fox Movie,John Powell,,TRUE,Original Score
2023,Best Song for a Musical / Comedy,The Super Mario Bros. Movie,Jack Black,Peaches,FALSE,Original Song
2023,Best Song for a Musical / Comedy,The Super Mario Bros. Movie,John Spiker,Peaches,FALSE,Original Song
2023,Best Song for a Musical / Comedy,The Super Mario Bros. Movie,Eric Osmond,Peaches,FALSE,Original Song
2023,Best Song for a Musical / Comedy,The Super Mario Bros. Movie,Michael Jelenic,Peaches,FALSE,Original Song
2023,Best Song for a Musical / Comedy,The Super Mario Bros. Movie,Aaron Horvath,Peaches,FALSE,Original Song
2023,Best Song for a Musical / Comedy,The L Word: Generation Q,Heather McIntosh,All about Me,FALSE,Original Song
2023,Best Song for a Musical / Comedy,The L Word: Generation Q,Allyson Newman,All about Me,FALSE,Original Song
2023,Best Song for a Musical / Comedy,The L Word: Generation Q,Taura Stinson,All about Me,FALSE,Original Song
2023,Best Song for a Musical / Comedy,Barbie,Billie Eilish o'Connell,What Was I Made For?,TRUE,Original Song
2023,Best Song for a Musical / Comedy,Barbie,Finneas o'Connell,What Was I Made For?,TRUE,Original Song
2023,Best Song for a Musical / Comedy,Barbie,Mark Ronson,I'm Just Ken,FALSE,Original Song
2023,Best Song for a Musical / Comedy,Barbie,Andrew Wyatt,I'm Just Ken,FALSE,Original Song
2023,Best Song for a Musical / Comedy,Flamin' Hot,Dianne Warren,The Fire Inside,FALSE,Original Song
2023,Best Song for a Drama / Documentary,American Symphony,Jon Batiste,It Never Went Away,FALSE,Original Song
2023,Best Song for a Drama / Documentary,American Symphony,Dan Wilson,It Never Went Away,FALSE,Original Song
2023,Best Song for a Drama / Documentary,Carmen,Nicholas Britell,Slip Away,FALSE,Original Song
