Year,Category,Film,Scene,Nominee,Won,Concordance
2024,Emerging Technology Award,Here,Neural Performance Toolset,Jo Plaete,TRUE,
2024,Emerging Technology Award,Here,Neural Performance Toolset,Oriel Frigo,TRUE,
2024,Emerging Technology Award,Here,Neural Performance Toolset,Tomas Koutsky,TRUE,
2024,Emerging Technology Award,Here,Neural Performance Toolset,Matteo Oliviero Dancy,TRUE,
2024,Emerging Technology Award,Dune: Part Two,Nuke CopyCat,Ben Kent,FALSE,
2024,Emerging Technology Award,Dune: Part Two,Nuke CopyCat,Guillaume Gales,FALSE,
2024,Emerging Technology Award,Dune: Part Two,Nuke CopyCat,Mairead Grogan,FALSE,
2024,Emerging Technology Award,Dune: Part Two,Nuke CopyCat,Johanna Barbier,FALSE,
2024,Emerging Technology Award,Furiosa: A Mad Max Saga,Artist-driven Machine Learning Character,John Bastian,FALSE,
2024,Emerging Technology Award,Furiosa: A Mad Max Saga,Artist-driven Machine Learning Character,Ben Ward,FALSE,
2024,Emerging Technology Award,Furiosa: A Mad Max Saga,Artist-driven Machine Learning Character,Thomas Rowntree,FALSE,
2024,Emerging Technology Award,Furiosa: A Mad Max Saga,Artist-driven Machine Learning Character,Robert Beveridge,FALSE,
2024,Emerging Technology Award,Mufasa: The Lion King,"Real-Time Interactive Filmmaking, From Stage to Post",Callum James,FALSE,
2024,Emerging Technology Award,Mufasa: The Lion King,"Real-Time Interactive Filmmaking, From Stage to Post",James Hood,FALSE,
2024,Emerging Technology Award,Mufasa: The Lion King,"Real-Time Interactive Filmmaking, From Stage to Post",Lloyd Bishop,FALSE,
2024,Emerging Technology Award,Mufasa: The Lion King,"Real-Time Interactive Filmmaking, From Stage to Post",Bruno Pedrinha,FALSE,
2024,Emerging Technology Award,The Penguin,Phase Synced Flash-Gun System,Johnny Han,FALSE,
2024,Emerging Technology Award,The Penguin,Phase Synced Flash-Gun System,Jefferson Han,FALSE,
2024,Emerging Technology Award,The Penguin,Phase Synced Flash-Gun System,Joseph Menafra,FALSE,
2024,Emerging Technology Award,The Penguin,Phase Synced Flash-Gun System,Michael Pynn (HBO),FALSE,
2024,Outstanding Animated Character in an Animated Feature,The Wild Robot,Roz,Fabio Lignini,TRUE,
2024,Outstanding Animated Character in an Animated Feature,The Wild Robot,Roz,Yukinori Inagaki,TRUE,
2024,Outstanding Animated Character in an Animated Feature,The Wild Robot,Roz,Owen Demers,TRUE,
2024,Outstanding Animated Character in an Animated Feature,The Wild Robot,Roz,Hyun Huh,TRUE,
2024,Outstanding Animated Character in an Animated Feature,Inside Out 2,Anxiety,Alexander Alvarado,FALSE,
2024,Outstanding Animated Character in an Animated Feature,Inside Out 2,Anxiety,Brianne Francisco,FALSE,
