Year,Film,Nominee,Source,Category,Won,Concordance
2024,A Complete Unknown,James Mangold,"the book ""Dylan Goes Electric"" by Elijah Wald",Adapted Screenplay,FALSE,Screenplay (Adapted)
2024,A Complete Unknown,Jay Cocks,"the book ""Dylan Goes Electric"" by Elijah Wald",Adapted Screenplay,FALSE,Screenplay (Adapted)
2024,Dune: Part Two,Denis Villeneuve,"the novel ""Dune"" by Frank Herbert",Adapted Screenplay,FALSE,Screenplay (Adapted)
2024,Hit Man,Richard Linklater,the Texas Monthly article by Skip Hollandsworth,Adapted Screenplay,FALSE,Screenplay (Adapted)
2024,Hit Man,Glen Powell,the Texas Monthly article by Skip Hollandsworth,Adapted Screenplay,FALSE,Screenplay (Adapted)
2024,Nickel Boys,RaMell Ross,"the book ""The Nickel Boys"" by Colson Whitehead",Adapted Screenplay,TRUE,Screenplay (Adapted)
2024,Nickel Boys,Joslyn Barnes,"the book ""The Nickel Boys"" by Colson Whitehead",Adapted Screenplay,TRUE,Screenplay (Adapted)
2024,Wicked,Winnie Holzman,"the musical stage play with music and lyrics by Stephen Schwartz and book by Winnie Holzman, from the novel by Gregory Maguire",Adapted Screenplay,FALSE,Screenplay (Adapted)
2024,Wicked,Dana Fox,"the musical stage play with music and lyrics by Stephen Schwartz and book by Winnie Holzman, from the novel by Gregory Maguire",Adapted Screenplay,FALSE,Screenplay (Adapted)
2024,Anora,Sean Baker,,Original Screenplay,TRUE,Screenplay (Original)
2024,Challengers,Justin Kuritzkes,,Original Screenplay,FALSE,Screenplay (Original)
2024,Civil War,Alex Garland,,Original Screenplay,FALSE,Screenplay (Original)
2024,My Old Ass,Megan Park,,Original Screenplay,FALSE,Screenplay (Original)
2024,A Real Pain,Jesse Eisenberg,,Original Screenplay,FALSE,Screenplay (Original)
2024,Jim Henson: Idea Man,Mark Monroe,,Documentary Screenplay,TRUE,
2024,Kiss the Future,Bill S. Carter,,Documentary Screenplay,FALSE,
2024,Kiss the Future,Nenad Cicin-Sain,,Documentary Screenplay,FALSE,
2024,Martha,R. J. Cutler,,Documentary Screenplay,FALSE,
2024,War Game,Tony Gerber,,Documentary Screenplay,FALSE,
2024,War Game,Jesse Moss,,Documentary Screenplay,FALSE,
2023,American Fiction,Cord Jefferson,the novel by Percival Everett,Adapted Screenplay,TRUE,Screenplay (Adapted)
2023,"Are You There, God? It's Me, Margaret",Kelly Fremon Craig,the book by Judy Blume,Adapted Screenplay,FALSE,Screenplay (Adapted)
2023,Killers of the Flower Moon,Eric Roth,the book by David Grann,Adapted Screenplay,FALSE,Screenplay (Adapted)
2023,Killers of the Flower Moon,Martin Scorcese,the book by David Grann,Adapted Screenplay,FALSE,Screenplay (Adapted)
2023,Nyad,Julia Cox,"the book ""Find a Way"" by Diana Nyad",Adapted Screenplay,FALSE,Screenplay (Adapted)
2023,Oppenheimer,Christopher Nolan,the book by Kai Bird and Martin J. Sherwin,Adapted Screenplay,FALSE,Screenplay (Adapted)
2023,Air,Alex Convery,,Original Screenplay,FALSE,Screenplay (Original)
2023,Barbie,Greta Gerwig,,Original Screenplay,FALSE,Screenplay (Original)
2023,Barbie,Noah Baumbach,,Original Screenplay,FALSE,Screenplay (Original)
2023,The Holdovers,David Hemingson,,Original Screenplay,TRUE,Screenplay (Original)
2023,May December,Samy Burch,,Original Screenplay,FALSE,Screenplay (Original)
